Sentence,Previous,Next
"The bond shall be available for purchase for a period of ten days on a
             quarterly basis, in the months of January, April, July, and October asAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 20             specified by the Central Government.41 Bonds will be available for an
             additional period of thirty days as specified by the Central Government
             in a year when General Elections to the House of People are to be held;42
      k.     No interest is payable on the bond.43 No commission, brokerage, or any
             other charges for issue of a bond shall be payable by the buyer against
             purchase of the bond;44
      l.     The value of the bonds shall be considered as income by way of
             voluntary contributions received by an eligible political party for the
37 Electoral Bond Scheme, Clause 7(3)
38 Electoral Bond Scheme, Clause 7(4)
39 Electoral Bond Scheme, Clause 7(6)
40 Electoral Bond Scheme, Clause 7(4)
41 Electoral Bond Scheme, Clause 8(1)
42 Electoral Bond Scheme, Clause 8(2)
43 Electoral Bond Scheme, Clause 9
44 Electoral Bond Scheme,   Clause 10
                                            20
                                                                                 PART A
             purpose of exemption from Income Tax under Section 13A of the IT Act;45
             and
      m.     The bonds are not eligible for trading.46
25.","It shall be disclosed only when demanded by a
             competent court or upon the registration of criminal case by any law
             enforcement agency;40
      j.","The petitioners instituted proceedings under Article 32 seeking a declaration
      that Electoral Bond Scheme and the following provisions be declared
      unconstitutional:
      a."
"The petitioners instituted proceedings under Article 32 seeking a declaration
      that Electoral Bond Scheme and the following provisions be declared
      unconstitutional:
      a.","The bond shall be available for purchase for a period of ten days on a
             quarterly basis, in the months of January, April, July, and October asAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 20             specified by the Central Government.41 Bonds will be available for an
             additional period of thirty days as specified by the Central Government
             in a year when General Elections to the House of People are to be held;42
      k.     No interest is payable on the bond.43 No commission, brokerage, or any
             other charges for issue of a bond shall be payable by the buyer against
             purchase of the bond;44
      l.     The value of the bonds shall be considered as income by way of
             voluntary contributions received by an eligible political party for the
37 Electoral Bond Scheme, Clause 7(3)
38 Electoral Bond Scheme, Clause 7(4)
39 Electoral Bond Scheme, Clause 7(6)
40 Electoral Bond Scheme, Clause 7(4)
41 Electoral Bond Scheme, Clause 8(1)
42 Electoral Bond Scheme, Clause 8(2)
43 Electoral Bond Scheme, Clause 9
44 Electoral Bond Scheme,   Clause 10
                                            20
                                                                                 PART A
             purpose of exemption from Income Tax under Section 13A of the IT Act;45
             and
      m.     The bonds are not eligible for trading.46
25.","Section 135 of the Finance Act 2017 and the corresponding amendment
             in Section 31 of the RBI Act;Association For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 21      b."
"This Court directed all political parties,
      in the interim to submit details of contributions received through electoral
      bonds (with particulars of the credit received against each bond, date of credit,
      and particulars of the bank account to which the amount has been credited)
45 Electoral Bond Scheme, Clause 13
46 Electoral Bond Scheme, Clause 14
                                             21
                                                                                            PART A
      to the ECI in a sealed cover.","In its order dated 13 April 2019, this Court observed that the amendments
      which have been challenged give rise to weighty issues which have a bearing
      on the sanctity of the electoral process.","The prayer for interim relief was rejected by
      observing that the operations under the scheme are not placed behind “iron
      curtains incapable of being pierced”:
                   ""25."
"8588/2019
                                                    22
                                                                                PART B
     Electoral Bond Scheme and the amendments is before the Constitution
     Bench.","It is in this background that the challenge to the
47 Roger Mathew v. South Bank of India, CA No.",B.
"Whether the non-disclosure of information on voluntary contributions to
     political parties under the Electoral Bond Scheme and the amendments to
     Section 29C of the RPA, Section 182(3) of the Companies Act and Section
     13A(b) of the IT Act are violative of the right to information of citizens under
Article 19(1)(a) of the Constitution.","Whether unlimited corporate funding to political parties, as envisaged by theAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 23     amendment to Section 182(1) of the Companies Act infringes the principle of
     free and fair elections and violates Article 14 of the Constitution; and
b.","23
                                                                                       PART C
     C.   Submissions
i.        Submissions of petitioners
     30."
"The
                     main objective of introducing the Electoral Bond Scheme as reflected in
                     the article written by the then Finance Minister, Mr. Arun Jaitley was that
                     it would enhance transparency in electoral funding since electoral bond
                     transactions can only be made through legitimate banking channels.",There is no rational basis for the introduction of electoral bonds.,"However, cash donations are still permitted even after the introduction
                     of the Electoral Bond Scheme;
          b."
"However, cash donations are still permitted even after the introduction
                     of the Electoral Bond Scheme;
          b.","The
                     main objective of introducing the Electoral Bond Scheme as reflected in
                     the article written by the then Finance Minister, Mr. Arun Jaitley was that
                     it would enhance transparency in electoral funding since electoral bond
                     transactions can only be made through legitimate banking channels.","The Central Government ignored the objections which were raised by
                     both the RBI and the ECI to the Electoral Bond Scheme;
          c.         The statutory amendments and the Electoral Bond Scheme whichAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 24                     mandates non-disclosure of information of electoral funding are
                     unconstitutional because:
               i."
"The Central Government ignored the objections which were raised by
                     both the RBI and the ECI to the Electoral Bond Scheme;
          c.         The statutory amendments and the Electoral Bond Scheme whichAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 24                     mandates non-disclosure of information of electoral funding are
                     unconstitutional because:
               i.","However, cash donations are still permitted even after the introduction
                     of the Electoral Bond Scheme;
          b.","They defeat the purpose of introducing provisions mandating
                          disclosure of information on political funding in the RPA and the
                          Companies Act which was to enhance transparency in electoral
                          funding;
               ii."
"The limited disclosure
                       clause in the Electoral Bond Scheme prevents investigating
                       agencies such as the Central Bureau of Investigation and
                       Enforcement Directorate from identifying corruption; andAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 25      d.          They violate the rights of shareholders of Companies who are donating
                  money to political parties by preventing disclosure of information to
                  them; and
      e.          The statutory amendments and the Electoral Bond Scheme subvert
                  democracy and interfere with free and fair elections because the huge
                  difference in the funds received by ruling parties in the States and Centre
48 Relied on PUCL v. Union of India, (2003) 4 SCC 399; ADR v. Union of India, (2002) 5 SCC 294; Anjali Bhardwaj
v. Union of India, (2019) 18 SCC 246
49 Relied on Kanwar Lal Gupta v. Amar Nath Chawla, 1975 SCC (3) 646
                                                      25
                                                                           PART C
         vitiates a level playing field between different parties and between
         parties and independent candidates.","This indicates that bonds are
                       purchased by corporates and not individuals.",31.
"The amendments and the Electoral Bond Scheme skew free and fair
         elections by permitting unlimited contributions to political parties by
         corporate entities and removing the requirement of disclosure of
         information about political funding;
    b.","Mr Kapil Sibal, learned senior counsel made the following submissions:
    a.","Freedom of a voter in the negative connotation refers to the freedom to
         cast their vote without interference and intimidation."
"It would be paradoxical to accord a presumption of
                                         26
                                                                                               PART C
             constitutionality to the very laws or rules that set the conditions under
             which the legislature comes into being50;
      e.     Corporate funding per se is violative of the Constitution because
             corporate entities are not citizens and thus, are not entitled to rights
             under Article 19(1)(a);
      f.     The funds contributed to the Electoral Bond Scheme can be used in any
             manner and their use is not restricted to electoral campaigns;
      g.     The Electoral Bond Scheme severs the link between elections and
             representative democracy because those elected are inclined to fulfill
             the wishes of the contributors and not the voters.","The principle underlying
         the presumption of constitutionality is that the legislature represents the
         will of the people and that it is validly constituted through free and fair
         elections.","This could be through
             direct quid pro quo where an express promise is made to enact a policy
             in favour of the donor and indirect quid pro quo where there is an
             influence through access to policy makers;Association For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 27      h.     The Scheme promotes information asymmetry where the information
             about political donations is not disclosed to voters but the Central
             Government is privy to such information through the State Bank of India
             which is the authorized bank under the Scheme."
"The Electoral Bond Scheme skews the principle of one person, one vote
     because it gives the corporates a greater opportunity to influence
     political parties and electoral outcomes;
j.","According to the data, the political
             party at the center has received fifty seven percent of the total
             contributions made through electoral bonds;
50 Relied on Subash Chandra v. Delhi Subordinate Services Selection Board, (2009) 15 SCC 458
                                                    27
                                                                         PART C
i.","The amendment to Section 182(3) permits: (i) loss making companies to
     contribute to political parties; (ii) unlimited contributions to political
     parties enabling significant policy influence; and (iii) non-disclosure of
     information on political funding to shareholders;
k.   The amendments permitting non-disclosure of information on political
     funding are violative of the right to information under Article 19(1)(a)."
"Even if the argument that the Electoral Bond Scheme fulfills the purpose
     is accepted, non-disclosure of information on political funding is not the
     least restrictive means to achieve the purpose;
                                    28
                                                                                 PART C
m.          The infringement of the right to information does not satisfy the
            proportionality   standard   vis-à-vis   the   purpose    of   guaranteeing
            informational privacy because:
      i.","Information
     about funding to political parties is necessary for an informed voter since
     the Symbols Order 1968 and the provisions of the Tenth Schedule allow
     political parties to influence legislative outcomes and policies;
l.   The infringement of the right to information does not satisfy the
     proportionality standard vis-à-vis the purpose of curbing black money.",Protecting donor privacy is not a legitimate purpose.
"Clause 14 of the
                Electoral Bond Scheme prohibits de jure trading of the bonds.",The Scheme does not effectively curb black money.,"However,
                trading is de facto permissible."
"The Electoral Bond Scheme and the amendments are arbitrary as they
               permit Indian registered companies to purchase electoral bonds withoutAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 32               considering their ownership and control.","Mr Nizam Pasha, learned counsel made the following submissions:
    a.","This goes against foreign
               investment laws in India, treating companies owned or controlled by non-
               resident Indian citizens as 'foreign owned or controlled companies,'
               without rational justification;
    b."
"The Electoral Bond Scheme is arbitrary due to its discriminatory and
               non-transparent     nature.","This goes against foreign
               investment laws in India, treating companies owned or controlled by non-
               resident Indian citizens as 'foreign owned or controlled companies,'
               without rational justification;
    b.","It        contradicts   existing   laws   requiring
               transparency and verification of the beneficial ownership and source of
               funds; and
    c.         The amendments to Section 29C of the RPA and Section 182 of the
               Companies Act serve no purpose other than perpetuating illegal ends,
                                                      32
                                                                          PART C
         as they exempt companies' purchase of electoral bonds from public
         disclosure."
"The Electoral Bond Scheme allows any person to transfer funds to
             political parties of their choice through legitimate banking channels
             instead of other unregulated ways such as direct transfer through cash;
      c.     The Scheme ensures confidentiality of the contributions made to political
             parties.","Accordingly, they are entitled to receive all support, including
             financial contributions;
      b.","The benefit of confidentiality to contributors ensures and
             promotes contribution of clean money to political parties;
      d.     Citizens do not have a general right to know regarding the funding of
             political parties."
"The Electoral Bond Scheme is an improvement on the prior legal
          framework;
     b.","The legal framework prior to the enactment of the Electoral Bond
          Scheme was mostly cash-based which incentivized infusion of black
          money into political parties, and consequently, into the electoral process
          in India.","Donors to a political party often apprehended retribution from other
          political parties."
"The Electoral Bond Scheme
          maintains the confidentiality of donors and thereby incentivizes them to
          contribute clean money to political parties;
     c.   In case the donor is a public company, they will have to declare the
          amount contributed in their books of account without disclosing the name
          of the political party.","Such apprehension incentivized donors to contribute
          unaccounted money to political parties to avoid identification and
          victimization by other political parties.","Similarly, the political parties will also have toAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 37          disclose the total amount received through electoral bonds in their
          annual audited accounts filed before the Election Commission of India."
"The
          right of a buyer to purchase electoral bonds without having to disclose
          their preference of political party secures the buyer’s right to privacy;
                                         37
                                                                             PART C
e.          The Electoral Bond Scheme has been enacted in pursuance of a
            legitimate state interest - to shift from cash driven, unregulated and
            unaccounted cash based political donations to a regulated, digital and
            legal political donation framework.","This framework ensures a balance between clean money coming into
          the system as against the right to information of citizens;
     d.   The state has a positive obligation to safeguard the privacy of its citizens,
          which necessarily includes the citizens’ right to political affiliation.","The provisions of the Electoral Bond
            Scheme have a specific object and purpose of curbing black money and
            protecting donor privacy:
      i."
"Further, the mere possibility that
                                         39
                                                                                                  PART D
             the law might be abused cannot be a ground for holding the provision
             procedurally or substantially unreasonable; and
      l.     The fact that one party receives substantially more support through
             donations than other parties cannot in itself be a legal ground to
             challenge the validity of the Electoral Bond Scheme.","The removal of the contribution limit was
          intended to disincentivize creation of shell companies;
k.        This Court has recognized that the legislature has a wide latitude in
          matters concerning economic policy.","D.    The Scope of Judicial Review
39."
"The Union of India submitted that this Court must exercise judicial restraint
      while deciding the challenge to the Electoral Bond Scheme and the statutory
      amendments because they relate to economic policy.","D.    The Scope of Judicial Review
39.","For this purpose, the
      Union of India relied on a series of decisions where this Court has held that
      Courts must follow judicial restraint in matters concerning economic and
      financial policy.54
40."
"The challenge to the statutory amendments and the Electoral Bond Scheme
    cannot be adjudicated in isolation without a reference to the actual impact of
    money on electoral politics.","In a democracy where rule
                  of law prevails this naked display of black money, by violating
                  the mandatory provisions of law, cannot be permitted.”
55.","This Court has in numerous judgments held that
    the effect and not the object of the law on fundamental rights and other
    constitutional provisions must be determined while adjudicating its
    constitutional validity."
"Maintaining the anonymity of the contributor is a crucial and primary
      characteristic of the Electoral Bond Scheme.",57.,"The electoral bond is defined as
      a bearer banking instrument which does not carry the name of the buyer.74
      The law mandates the authorized bank to not disclose the information
      furnished by the buyer except when demanded by a competent court or upon
      the registration of a criminal case by law enforcement agencies.75
58."
"The amendments introduced by the Finance Act 2017 and the Electoral Bond
      Scheme are challenged on the ground that the non-disclosure of informationAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 5174 Electoral Bond Scheme, Clause 2(a)
75 Electoral Bond Scheme, Clause 7(4)
                                           50
                                                                                      PART F
           about electoral contributions is violative of the right to information of the voter
           which is traceable to Article 19(1)(a) of the Constitution.","The electoral bond is defined as
      a bearer banking instrument which does not carry the name of the buyer.74
      The law mandates the authorized bank to not disclose the information
      furnished by the buyer except when demanded by a competent court or upon
      the registration of a criminal case by law enforcement agencies.75
58.",i.
"This segment of the judgment will discuss whether the amendments and the
           Electoral Bond Scheme infringe the right to information of the voter.","Infringement of the right to information of the voter
     59.","For this
           purpose, we will discuss the scope of the right to information, and whether the
           right extends to information on contributions to political parties."
"Clause 12 of the Scheme states that the bond
122 Electoral Bond Scheme; Clause 2(a)
123 Electoral Bond Scheme; Clause 7(4)Association For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 80                                              77
                                                                                        PART F
           can be encashed only by the political party by depositing it in the designated
           bank account.","There are sufficient gaps in the
      Scheme which enable political parties to know the particulars of the
      contributions made to them.","The contributor could physically hand over the electoral bond
           to an office bearer of the political party or to the legislator belonging to the
           political party, or it could have been sent to the office of the political party with
           the name of the contributor, or the contributor could after depositing the
           electoral bond disclose the particulars of the contribution to a member of the
           political party for them to cross-verify."
"The Electoral Bond Scheme and the
           impugned provisions to the extent that they infringe upon the right to
           information of the voter by anonymizing contributions through electoral bonds
           are violative of Article 19(1)(a).","In view of the above discussion, we are of the opinion that the information
           about funding to a political party is essential for a voter to exercise their
           freedom to vote in an effective manner.",ii.
"The then Finance Minister, Mr. Arun Jaitley encapsulated the objective of
       introducing the Electoral Bond Scheme thus:
       a.","Second, the State must
       establish that the law is indeed in furtherance of the legitimate aim that is
       contended to be served.125
107.","An attempt was made in the past to incentivize donations to political
              party through banking channels."
"For example, immediately preceding the
137 Superintendent, Central Prison, Fatehgarh v. Dr Ram Manohar Lohia, AIR 1960 SC 633 [18]
138 Media One (supra) [100]
                                                    86
                                                                                       PART F
      financial year (2016-17) in which the Electoral Bond Scheme was introduced,
      eighty one percent of the contributions (Rupees 580.52 Crores) were received
      by political parties through voluntary contributions.","The respondents submit that before the introduction of the Electoral Bond
      Scheme, a major portion of the total contributions received by political parties
      was from “unknown sources”.","Since the amount of
      voluntary contributions is not regulated, it allowed the circulation of black
      money."
"However, after the introduction of the Electoral Bond Scheme, forty-
      seven percent of the contributions were received through electoral bonds
      which is regulated money.","Since the amount of
      voluntary contributions is not regulated, it allowed the circulation of black
      money.","The Union of India submitted that providing
      anonymity to the contributors incentivizes them to contribute through the
      banking channel."
"Before we proceed to determine if the Electoral Bond Scheme is the least
       restrictive means to curb black money in electoral funding, it is important that
       we recall the regime on electoral funding.",120.,"After the amendments introducedAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 91       by the Finance Act 2017, donations to political parties exceeding rupees two
       thousand can only be made by an account payee cheque drawn on a bank,
       an account payee bank draft, the use of electronic clearing system through a
       bank account or through an electoral bond.140 All contributions to political
       parties through cash cannot be assumed to be black money."
"The Electoral Bond Scheme
     does not provide any regulatory check to prevent the trading of bonds though
     Clause 14 of the Electoral Bond Scheme states that the bonds shall not be
     eligible for trading.","However, the Scheme is not fool-proof.",129.
"Having
     concluded that the Electoral Bond Scheme is not the least restrictive means
                                          94
                                                                                PART F
     to achieve the purpose of curbing black money in electoral process, there is
     no necessity of applying the balancing prong of the proportionality standard.","For contributions above twenty thousand rupees,
     contributions through Electoral Trust is the least restrictive means.",130.
"Based on the above discussion, we conclude that Electoral Bond SchemeAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 98     does not fulfill the least restrictive means test.",130.,"The Electoral Bond Scheme is
     not the only means for curbing black money in Electoral Finance."
"The Electoral Bond Scheme is
     not the only means for curbing black money in Electoral Finance.","Based on the above discussion, we conclude that Electoral Bond SchemeAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 98     does not fulfill the least restrictive means test.","There are
     other alternatives which substantially fulfill the purpose and impact the right
     to information minimally when compared to the impact of electoral bonds on
     the right to information."
"First, that the State
     interest in introducing the Electoral Bond Scheme which guarantees
     confidentiality (or anonymity) to financial contributions is that it furthers donor
     privacy; and second, this State interest facilitates a guaranteed fundamental
     right.","There are two limbs to the argument of the Union
     of India with respect to the purpose of donor privacy.","Thus, the submission of the State is that the right to information can be
     restricted even if donor privacy is not traceable to the grounds in Article 19(2)
     because privacy is a fundamental right in itself."
"If the right to informational privacy extends to financial contributions to a political
     party, this Court needs to decide if the Electoral Bond Scheme adequately
     balances the right to information and right to informational privacy of political
     affiliation.","If (a) above is answered in the affirmative, whether financial contributionAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 99                    to a political party is a facet of political affiliation.","I.         Informational privacy of financial contributions to political parties
     132."
"The Electoral Bond Scheme has two
     manifestations of privacy: first, informational privacy by prescribing
     confidentiality vis-à-vis the political party; and second, informational privacy
     by prescribing non-disclosure of the information of political contributions to
     the public.","Having concluded that the Constitution guarantees a right to informational
     privacy of political affiliation, it needs to be decided if the right can be extended
     to the contributions to political parties.","The Union of India submitted that contributions made to political
     parties must be protected both from the political party itself and the public
     because donor privacy is an extension of the principle of secret ballot and is
     a facet of free and fair elections."
"The second issue is whether the right to privacy of political contributions can
            be extended to include privacy vis-à-vis the political party to which
            contributions are made since according to the Union of India under the
            Electoral Bond Scheme, the political party to which the contribution is made
            would not know the particulars of the contributor.","Privacy vis-à-vis political party
       143.","Hence, it is submitted that
            the scheme is akin to the secret ballot."
"Thus, the
            argument of the Union of India that the Electoral Bond Scheme protects the
            confidentiality of the contributor akin to the system of secret ballot is
            erroneous.","Under the current Scheme, it
            is still open to the political party to coerce persons to contribute.",III.
"Whether the measure is a suitable means for furthering right A and right
          B;
     c.   Whether the measure is least restrictive and equally effective to realise
          right A and right B; and
     d.   Whether the measure has a disproportionate impact on right A and rightAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 117          B.
b)   Validity of the Electoral Bond Scheme, Section 11 of the Finance Act and
Section 137 of the Finance Act
158.","If not, the following standard must be
                                         112
                                                                            PART F
          employed from the perspective of both the rights where rights A and B
          are in conflict:
     b.","To recall, Section 13A of the IT Act before the amendment mandated that the
     political party must maintain a record of contributions in excess of rupees
     twenty thousand."
"Amendments had to be made to Section 13A of the IT Act and
       Section 29C of the RPA to implement the Electoral Bond Scheme because
       the EBS mandates anonymity of the contributor.","As explained earlier, the feature of
     anonymity of the contributor vis-à-vis the public is intrinsic to the Electoral
                                        113
                                                                                                    PART F
       Bond Scheme.","In this Section, we will
       answer the question of whether the EBS adequately balances the right to
       informational privacy of the contributor and the right to information of the voter."
"According to Clause 7(4) of the Electoral Bond Scheme and the
      amendments, the information about contributions made through the Electoral
      Bond Scheme is exempted from disclosure requirements.","There is no nexus between
      the balancing measure adopted with the purpose of disclosure of information
      to the voter.","This information is
      never disclosed to the voter."
"The measure in the Electoral Bond Scheme completely
     tilts the balance in favor of the purpose of informational privacy and abrogates
     informational interests.","Thus, this alternative realizes the objective of securing disclosure for an
     informed voter and informational privacy to political affiliation in a ‘real and
     substantial manner’.","On an overall comparison of the measure and the
     alternative, the alternative is better suited because it realizes the purposes to
     a considerable extent and imposes a lesser restriction on the fundamental
     rights."
"The Union of India has been unable to establish that the measure employed
    in Clause 7(4) of the Electoral Bond Scheme is the least restrictive means to
    balance the rights of informational privacy to political contributions and theAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 124    right to information of political contributions.",169.,"Thus, the amendment to Section
    13A(b) of the IT Act introduced by the Finance Act 2017, and the amendment
    to Section 29C(1) of the RPA are unconstitutional."
"However, as explained above, the
    anonymity of the contributor is intrinsic to the Electoral Bond Scheme.","The question is whether
    this Court should only strike down the non-disclosure provision in the Electoral
    Bond Scheme, that is Clause 7(4).","The
    Electoral Bond is not distinguishable from other modes of contributions
    through the banking channels such as cheque transfer, transfer through the
    Electronic Clearing System or direct debit if the anonymity component of the
    Scheme is struck down."
"Thus, the Electoral Bond Scheme 2018 will also
    consequentially have to be struck down as unconstitutional.","The
    Electoral Bond is not distinguishable from other modes of contributions
    through the banking channels such as cheque transfer, transfer through the
    Electronic Clearing System or direct debit if the anonymity component of the
    Scheme is struck down.","c.   Validity of Section 154 of the Finance Act amending Section 182(3) to
            the Companies Act
170."
"The
    amendment to Section 182(3) of the Companies Act becomes otiose in terms
    of our holding in the preceding section that the Electoral Bond Scheme and
    relevant amendments to the RPA and the IT Act mandating non-disclosure of
    particulars   on    political   contributions   through   electoral   bonds   is
    unconstitutional.","The only purpose of amending Section 182(3) was to bring
    the provision in tune with the amendment under the RPA exempting
    disclosure requirements for contributions through electoral bonds.",174.
"The Electoral Bond Scheme, the proviso to Section 29C(1) of the
          Representation of the People Act 1951 (as amended by Section 137 of
          Finance Act 2017), Section 182(3) of the Companies Act (as amendedAssociation For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 155          by Section 154 of the Finance Act 2017), and Section 13A(b) (as
          amended by Section 11 of Finance Act 2017) are violative of Article
          19(1)(a) and unconstitutional; and
     b.","In view of the discussion above, the following are our conclusions:
     a.","The deletion of the proviso to Section 182(1) of the Companies Act
          permitting unlimited corporate contributions to political parties is arbitrary
          and violative of Article 14."
