Sentence,Previous,Next
"In addition,
the said Section has a chilling effect on the freedom of speech and expression.","The enforcement of the said Section would really be an
insidious form of censorship which impairs a core value contained in Article 19(1)(a).","Also, the right of
viewers is infringed as such chilling effect would not give them the benefit of many shades of grey in
terms of various points of view that could be viewed over the internet."
"In reply, Mr. Tushar Mehta, learned Additional Solicitor General defended the constitutionality of
Section 66A.",6.,"He argued that the legislature is in the best position to understand and appreciate the
needs of the people."
"Loose language may have been used in Section 66A to deal with novel methods of
disturbing other people's rights by using the internet as a tool to do so.","Mere possibility of abuse of a provision cannot be a ground to declare a
provision invalid.","Further, vagueness is not a
ground to declare a statute unconstitutional if the statute is otherwise legislatively competent and
non-arbitrary."
"Article 19(1)(a) -
Section 66A has been challenged on the ground that it casts the net very wide - ""all information"" that
is disseminated over the internet is included within its reach.",A.,"It will be useful to note that Section
2(v) of Information Technology Act, 2000 defines information as follows:
""2."
"It will be useful to note that Section
2(v) of Information Technology Act, 2000 defines information as follows:
""2.","Article 19(1)(a) -
Section 66A has been challenged on the ground that it casts the net very wide - ""all information"" that
is disseminated over the internet is included within its reach.","Definitions.-(1) In this Act, unless the context otherwise requires,-
(v) ""Information"" includes data, message, text, images, sound, voice, codes, computer
programmes, software and databases or micro film or computer generated micro
fiche."""
"It is clear, therefore, that the petitioners are
correct in saying that the public's right to know is directly affected by Section 66A.","In fact, it refers only to the medium
through which such information is disseminated.","Information of all
kinds is roped in - such information may have scientific, literary or artistic value, it may refer to
current events, it may be obscene or seditious."
"It is clear that the right of the people to know
- the market place of ideas - which the internet provides to persons of all kinds is what attracts
Section 66A.","That such information may cause annoyance or
inconvenience to some is how the offence is made out.","That the information sent has to be annoying, inconvenient, grossly offensive etc., also
shows that no distinction is made between mere discussion or advocacy of a particular point of view
which may be annoying or inconvenient or grossly offensive to some and incitement by which such
words lead to an imminent causal connection with public disorder, security of State etc."
"The
petitioners are right in saying that Section 66A in creating an offence against persons who use the
internet and annoy or cause inconvenience to others very clearly affects the freedom of speech and
expression of the citizenry of India at large in that such speech or expression is directly curbed by
the creation of the offence contained in Section 66A.","That the information sent has to be annoying, inconvenient, grossly offensive etc., also
shows that no distinction is made between mere discussion or advocacy of a particular point of view
which may be annoying or inconvenient or grossly offensive to some and incitement by which such
words lead to an imminent causal connection with public disorder, security of State etc.","In this regard, the observations of Justice Jackson in American Communications Association v.
Douds, 94 L. Ed."
"""Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 9Article 19(2) One challenge to Section 66A made by the petitioners' counsel is that the offence
created by the said Section has no proximate relation with any of the eight subject matters contained
in Article 19(2).","We could
justify any censorship only when the censors are better shielded against error than
the censored.","We may incidentally mention that the State has claimed that the said Section can be
supported under the heads of public order, defamation, incitement to an offence and decency or
morality."
"We may incidentally mention that the State has claimed that the said Section can be
supported under the heads of public order, defamation, incitement to an offence and decency or
morality.","""Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 9Article 19(2) One challenge to Section 66A made by the petitioners' counsel is that the offence
created by the said Section has no proximate relation with any of the eight subject matters contained
in Article 19(2).",21.
"While it may be possible to narrowly draw a Section creating a new offence,
such as Section 69A for instance, relatable only to speech over the internet, yet the validity of such a
law will have to be tested on the touchstone of the tests already indicated above.","But we do not find anything in the features outlined by the
learned Additional Solicitor General to relax the Court's scrutiny of the curbing of the content of free
speech over the internet.",29.
"Because of its
absence, challenges made to an order made under Section 7 of the Punjab Maintenance of Public
Order Act and to an order made under Section 9 (1)(a) of the Madras Maintenance of Public Order
Act were allowed in two early judgments by this Court.",In Article 19(2) (as it originally stood) this sub-head was conspicuously absent.,"Thus in Romesh Thappar v. State of Madras,
[1950] S.C.R."
"594, this Court held that an order made under Section 9(1)(a) of the Madras
Maintenance of Public Order Act (XXIII of 1949) was unconstitutional and void in that it could not
be justified as a measure connected with security of the State.","Thus in Romesh Thappar v. State of Madras,
[1950] S.C.R.","While dealing with the expression
""public order"", this Court held that ""public order"" is an expression which signifies a state of
tranquility which prevails amongst the members of a political society as a result of the internal
regulations enforced by the Government which they have established."
"605, an order made under
Section 7 of the East Punjab Public Safety Act, 1949, was held to be unconstitutional and void for the
self-same reason.","v. State of Delhi, [1950] S.C.R.",32.
"Its
implications are deeper and it affects the even tempo of life and public order is
jeopardized because the repercussions of the act embrace large Sections of the
community and incite them to make further breaches of the law and order and to
subvert the public order.",This is an act of a very different sort.,An act by itself is not determinant of its own gravity.
"Going by this
test, it is clear that Section 66A is intended to punish any person who uses the internet to
disseminate any information that falls within the sub-clauses of Section 66A.","We have to ask
ourselves the question: does a particular act lead to disturbance of the current life of the community
or does it merely affect an individual leaving the tranquility of society undisturbed?","It will be immediately
noticed that the recipient of the written word that is sent by the person who is accused of the offence
is not of any importance so far as this Section is concerned."
"It will be immediately
noticed that the recipient of the written word that is sent by the person who is accused of the offence
is not of any importance so far as this Section is concerned.","Going by this
test, it is clear that Section 66A is intended to punish any person who uses the internet to
disseminate any information that falls within the sub-clauses of Section 66A.","(Save and except where under
sub-clause (c) the addressee or recipient is deceived or misled about the origin of a particular
message.)"
"The Section makes no distinction between mass dissemination and
dissemination to one person.","It is clear, therefore, that the information that is disseminated may be to one individual or
several individuals.","Further, the Section does not require that such message should have a
clear tendency to disrupt public order."
"Further, the Section does not require that such message should have a
clear tendency to disrupt public order.","The Section makes no distinction between mass dissemination and
dissemination to one person.","Such message need not have any potential which could
disturb the community at large."
"On all these counts, it is clear that the Section has no proximate
relationship to public order whatsoever.","The nexus between the message and action that may be taken based
on the message is conspicuously absent - there is no ingredient in this offence of inciting anybody to
do anything which a reasonable man would then say would have the tendency of being an immediate
threat to public safety or tranquility.","The example of a guest at a hotel `annoying' girls is telling -
this Court has held that mere `annoyance' need not cause disturbance of public order."
"Under
Section 66A, the offence is complete by sending a message for the purpose of causing annoyance,
either `persistently' or otherwise without in any manner impacting public order.","The example of a guest at a hotel `annoying' girls is telling -
this Court has held that mere `annoyance' need not cause disturbance of public order.",Clear and present danger - tendency to affect.
"860 at page 867, this court upheld Section
295A of the Indian Penal Code only because it was read down to mean that aggravated forms of
insults to religion must have a tendency to disrupt public order.","In Ramji Lal Modi v. The State of U.P., [1957] S.C.R.","Similarly, in Kedar Nath Singh v.
State of Bihar, 1962 Supp."
"769, Section 124A of the Indian Penal Code was upheld by
construing it narrowly and stating that the offence would only be complete if the words complained
of have a tendency of creating public disorder by violence.",(2) S.C.R.,"It was added that merely creatingShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 19disaffection or creating feelings of enmity in certain people was not good enough or else it would
violate the fundamental right of free speech under Article 19(1)(a)."
"Again, in Dr. Ramesh Yeshwant
Prabhoo v. Prabhakar Kashinath Kunte & Ors., 1996 (1) SCC 130, Section 123 (3A) of the
Representation of People Act was upheld only if the enmity or hatred that was spoken about in the
Section would tend to create immediate public disorder and not otherwise.","It was added that merely creatingShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 19disaffection or creating feelings of enmity in certain people was not good enough or else it would
violate the fundamental right of free speech under Article 19(1)(a).",41.
"Viewed at either by the standpoint of the clear and present danger test or the tendency to create
public disorder, Section 66A would not pass muster as it has no element of any tendency to create
public disorder which ought to be an essential ingredient of the offence which it creates.",41.,"Defamation
42."
"Defamation is defined in Section 499 of the Penal Code as follows:
""499.","Defamation
42.","Defamation.-Whoever, by words either spoken or intended to be read, or by
signs or by visible representations, makes or publishes any imputation concerning
any person intending to harm, or knowing or having reason to believe that such
imputation will harm, the reputation of such person, is said, except in the cases
hereinafter excepted, to defame that person."
Section 66A does not concern itself with injury to reputation.,"It will be noticed that for something to be defamatory, injury to reputation is a basic ingredient.","Something may be grossly offensive
and may annoy or be inconvenient to somebody without at all affecting his reputation."
"It is clear
therefore that the Section is not aimed at defamatory statements at all.","Something may be grossly offensive
and may annoy or be inconvenient to somebody without at all affecting his reputation.","Incitement to an offence:Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 2044."
"Equally, Section 66A has no proximate connection with incitement to commit an offence.","Incitement to an offence:Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 2044.","Firstly,
the information disseminated over the internet need not be information which ""incites"" anybody at
all."
"For these reasons, Section 66A has nothing to do with ""incitement to an offence"".","They may be ingredients of certain offences under the Penal Code but are not offences in
themselves.","As
Section 66A severely curtails information that may be sent on the internet based on whether it is
grossly offensive, annoying, inconvenient, etc."
"As
Section 66A severely curtails information that may be sent on the internet based on whether it is
grossly offensive, annoying, inconvenient, etc.","For these reasons, Section 66A has nothing to do with ""incitement to an offence"".","and being unrelated to any of the eight subject
matters under Article 19(2) must, therefore, fall foul of Article 19(1)(a), and not being saved under
Article 19(2), is declared as unconstitutional."
"Section 66A cannot possibly be said to create an offence which falls within the expression
'decency' or 'morality' in that what may be grossly offensive or annoying under the Section need not
be obscene at all - in fact the word 'obscene' is conspicuous by its absence in Section 66A.","What has been said with regard to public order and incitement to an offence equally applies
here.",48.
"However, the learned Additional Solicitor General asked us to read into Section 66A each of the
subject matters contained in Article 19(2) in order to save the constitutionality of the provision.",48.,"We
are afraid that such an exercise is not possible for the simple reason that when the legislature
intended to do so, it provided for some of the subject matters contained in Article 19(2) in Section
69A."
"We
are afraid that such an exercise is not possible for the simple reason that when the legislature
intended to do so, it provided for some of the subject matters contained in Article 19(2) in Section
69A.","However, the learned Additional Solicitor General asked us to read into Section 66A each of the
subject matters contained in Article 19(2) in order to save the constitutionality of the provision.","We would be doing complete violence to the language of Section 66A if we were to read into it
something that was never intended to be read into it."
"We would be doing complete violence to the language of Section 66A if we were to read into it
something that was never intended to be read into it.","We
are afraid that such an exercise is not possible for the simple reason that when the legislature
intended to do so, it provided for some of the subject matters contained in Article 19(2) in Section
69A.","Further, he argued that the statute should be
made workable, and the following should be read into Section 66A:Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 21""(i) Information which would appear highly abusive, insulting, pejorative, offensive
by reasonable person in general, judged by the standards of an open and just
multi-caste, multi-religious, multi racial society;
Director of Public Prosecutions v. Collins - (2006) 1 WLR 2223 @ para 9 and Connolly v. Director of
Public Prosecutions reported in [2008] 1 W.L.R."
"Further, he argued that the statute should be
made workable, and the following should be read into Section 66A:Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 21""(i) Information which would appear highly abusive, insulting, pejorative, offensive
by reasonable person in general, judged by the standards of an open and just
multi-caste, multi-religious, multi racial society;
Director of Public Prosecutions v. Collins - (2006) 1 WLR 2223 @ para 9 and Connolly v. Director of
Public Prosecutions reported in [2008] 1 W.L.R.","We would be doing complete violence to the language of Section 66A if we were to read into it
something that was never intended to be read into it.","276/2007 [1] All ER 1012 House of Lords Select
Committee 1st Report of Session 2014-2015 on Communications titled as ""Social Media And
Criminal Offences"" @ pg 260 of compilation of judgments Vol I Part B
(ii) Information which is directed to incite or can produce imminent lawless action Brandenburg v.
Ohio 395 U.S. 444 (1969);
(iii) Information which may constitute credible threats of violence to the person or damage;
(iv) Information which stirs the public to anger, invites violent disputes brings about condition of
violent unrest and disturbances;
Terminiello v. Chicago 337 US 1 (1949)
(v) Information which advocates or teaches the duty, necessity or proprietary of violence as a means
of accomplishing political, social or religious reform and/or justifies commissioning of violent acts
with an intent to exemplify glorify such violent means to accomplish political, social, economical or
religious reforms [Whitney vs. California 274 US 357];
(vi) Information which contains fighting or abusive material;
Chaplinsky v. New Hampshire, 315 U.S. 568 (1942)
(vii) Information which promotes hate speech i.e."
"What the learned Additional Solicitor General is asking us to do is not to read down Section 66A
- he is asking for a wholesale substitution of the provision which is obviously not possible.",49.,"Vagueness
50."
"Counsel for the petitioners argued that the language used in Section 66A is so vague that neither
would an accused person be put on notice as to what exactly is the offence which has been
committed nor would the authorities administering the Section be clear as to on which side of a
clearly drawn line a particular communication will fall.","Vagueness
50.",51.
"We were given Collin's dictionary, which defined most of the terms used in Section 66A, as
follows:
""Offensive:-
Unpleasant or disgusting, as to the senses Causing anger or annoyance; insulting For
the purpose of attack rather than defence.",51.,"Menace:-
To threaten with violence, danger, etc."
"The U.S. Supreme Court has repeatedly held in a series of judgments that where no reasonable
standards are laid down to define guilt in a Section which creates an offence, and where no clear
guidance is given to either law abiding citizens or to authorities and courts, a Section which creates
an offence and which is vague must be struck down as being arbitrary and unreasonable.",52.,"Thus, in
Musser v. Utah, 92 L. Ed."
"Here
again, the U.S. Supreme Court stepped in to strike down the offending Section stating:
""It is not a sufficient answer to say that 'sacrilegious' is definite, because all subjects
that in any way might be interpreted as offending the religious beliefs of any one of
the 300 sects of the United States are banned in New York.","1098, sacrilegious writings and utterances were outlawed.","To allow such vague,
undefinable powers of censorship to be exercised is bound to have stultifying
consequences on the creative process of literature and art-for the films are derived
largely from literature."
"This judgment is a
little important for two basic reasons - that it deals with a penal offence created for persons who use
the internet as also for the reason that the statute which was adjudged unconstitutional uses the
expression ""patently offensive"" which comes extremely close to the expression ""grossly offensive""
used by the impugned Section 66A.","v. American Civil Liberties Union et al., 521
U.S. 844 (1997), two provisions of the Communications Decency Act of 1996 which sought to protect
minors from harmful material on the internet were adjudged unconstitutional.","Section 223(d), which was adjudged unconstitutional, is set out
hereinbelow:-
""223 (d) Whoever-
""(1) in interstate or foreign communications knowingly-
(A) uses an interactive computer service to send to a specific person or persons under
18 years of age, or (B) uses any interactive computer service to display in a manner
available to a person under 18 years of age, ""any comment, request, suggestion,
proposal, image, or other communication that, in context, depicts or describes, in
terms patently offensive as measured by contemporary community standards, sexual
or excretory activities or organs, regardless of whether the user of such service placed
the call or initiated the communication; or (2) knowingly permits anyShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 27telecommunications facility under such person's control to be used for an activity
prohibited by paragraph (1) with the intent that it be used for such activity, shall be
fined under Title 18, or imprisoned not more than two years, or both."""
"Section 223(d), which was adjudged unconstitutional, is set out
hereinbelow:-
""223 (d) Whoever-
""(1) in interstate or foreign communications knowingly-
(A) uses an interactive computer service to send to a specific person or persons under
18 years of age, or (B) uses any interactive computer service to display in a manner
available to a person under 18 years of age, ""any comment, request, suggestion,
proposal, image, or other communication that, in context, depicts or describes, in
terms patently offensive as measured by contemporary community standards, sexual
or excretory activities or organs, regardless of whether the user of such service placed
the call or initiated the communication; or (2) knowingly permits anyShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 27telecommunications facility under such person's control to be used for an activity
prohibited by paragraph (1) with the intent that it be used for such activity, shall be
fined under Title 18, or imprisoned not more than two years, or both.""","This judgment is a
little important for two basic reasons - that it deals with a penal offence created for persons who use
the internet as also for the reason that the statute which was adjudged unconstitutional uses the
expression ""patently offensive"" which comes extremely close to the expression ""grossly offensive""
used by the impugned Section 66A.","(at page 860)
Interestingly, the District Court Judge writing of the internet said:
""[i]t is no exaggeration to conclude that the Internet has achieved, and continues to
achieve, the most participatory marketplace of mass speech that this country - and
indeed the world - as yet seen."
"970 an inclusive definition of the word ""goonda"" was held to be vague and the offence created by
Section 4A of the Goondas Act was, therefore, violative of Article 19(1)(d) and (e) of the
Constitution.","Coming to this Court's judgments, in State of Madhya Pradesh v. Baldeo Prasad, [1961] 1 S.C.R.","It was stated:
""Incidentally it would also be relevant to point out that the definition of the word
""goonda"" affords no assistance in deciding which citizen can be put under that
category."
"Having regard to the two infirmities in Sections 4, 4-A respectively we do not think it
would be possible to accede to the argument of the Learned Advocate-General that
the operative portion of the Act can fall under Art.","As we have already pointed out s. 4-A suffers from the
same infirmities as s. 4.",19(5) of the Constitution.
"It
has been urged before us that such an obligation is implicit in Sections 4 and 4-A.","In such a case it is absolutely
essential that the Act must clearly indicate by a proper definition or otherwise when
and under what circumstances a person can be called a goonda, and it must impose
an obligation on the District Magistrate to apply his mind to the question as to
whether the person against whom complaints are received is such a goonda or not.","We
are, however, not impressed by this argument."
"v. Baldeo Prasad, 1961 (1) SCR 970 where the
Central Provinces and Berar Goondas Act 1946 was declared void for uncertainty.Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 30The condition for the application of Sections 4 and 4A was that the person sought to
be proceeded against must be a goonda but the definition of goonda in the Act
indicated no tests for deciding which person fell within the definition.","A very pertinent example is to be found in
State of Madhya Pradesh and Anr.","The provisions
were therefore held to be uncertain and vague."
"v. Union of India & Ors., 1969 (2) SCC 166,
Section 27 of the Gold Control Act was struck down on the ground that the conditions imposed by it
for the grant of renewal of licences are uncertain, vague and unintelligible.","Similarly, in Harakchand Ratanchand Banthia & Ors.","The Court held:
""21."
We now come to Section 27 of the Act which relates to licensing of dealers.,"The Court held:
""21.","It was
stated on behalf of the petitioners that the conditions imposed by sub-section (6) of
Section 27 for the grant or renewal of licences are uncertain, vague and unintelligible
and consequently wide and unfettered power was conferred upon the statutory
authorities in the matter of grant or renewal of licence."
"It was
stated on behalf of the petitioners that the conditions imposed by sub-section (6) of
Section 27 for the grant or renewal of licences are uncertain, vague and unintelligible
and consequently wide and unfettered power was conferred upon the statutory
authorities in the matter of grant or renewal of licence.",We now come to Section 27 of the Act which relates to licensing of dealers.,"In our opinion this contention
is well founded and must be accepted as correct."
"Section 27(6)(a) states that in the
matter of issue or renewal of licences the Administrator shall have regard to ""the
number of dealers existing in the region in which the applicant intends to carry on
business as a dealer"".","In our opinion this contention
is well founded and must be accepted as correct.","But the word ""region""
is nowhere defined in the Act."
"Similarly Section 27(6)(b) requires the Administrator to have regard
to ""the anticipated demand, as estimated by him, for ornaments in that region.""","But the word ""region""
is nowhere defined in the Act.","The expression
""anticipated demand"" is a vague expression which is not capable of objective assessment and is
bound to lead to a great deal of uncertainty."
"Similarly the expression ""suitability of the applicant"" in
Section 27(6)(e) and ""public interest"" in Section 27(6)(g) do not provide any objective standard or
norm or guidance.","The expression
""anticipated demand"" is a vague expression which is not capable of objective assessment and is
bound to lead to a great deal of uncertainty.","For these reasons it must be held that clauses (a),(d),(e) and (g) of Section 27(6)
impose unreasonable restrictions on the fundamental right of the petitioner to carry on business
and are constitutionally invalid."
"For these reasons it must be held that clauses (a),(d),(e) and (g) of Section 27(6)
impose unreasonable restrictions on the fundamental right of the petitioner to carry on business
and are constitutionally invalid.","Similarly the expression ""suitability of the applicant"" in
Section 27(6)(e) and ""public interest"" in Section 27(6)(g) do not provide any objective standard or
norm or guidance.","It was also contended that there was no reason why the conditions
for renewal of licence should be as rigorous as the conditions for initial grant of licence."
"There is justification for this argument and the requirement of Section 26 of the Act
imposing the same conditions for the renewal of the licence as for the initial grant appears to be
unreasonable.","The
requirement of strict conditions for the renewal of licence renders the entire future of the business
of the dealer uncertain and subjects it to the caprice and arbitrary will of the administrativeShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 31authorities.","In our opinion clauses (a), (b), (e) and (g) are inextricably bound up with the other
clauses of Section 27(6) and form part of a single scheme."
"In our opinion clauses (a), (b), (e) and (g) are inextricably bound up with the other
clauses of Section 27(6) and form part of a single scheme.","There is justification for this argument and the requirement of Section 26 of the Act
imposing the same conditions for the renewal of the licence as for the initial grant appears to be
unreasonable.","The result is that clauses (a), (b), (c), (e)
and (g) are not severable and the entire Section 27(6) of the Act must be held invalid."
"The result is that clauses (a), (b), (c), (e)
and (g) are not severable and the entire Section 27(6) of the Act must be held invalid.","In our opinion clauses (a), (b), (e) and (g) are inextricably bound up with the other
clauses of Section 27(6) and form part of a single scheme.","Section
27(2)(d) of the Act states that a valid licence issued by the Administrator ""may contain such
conditions, limitations and restrictions as the Administrator may think fit to impose and different
conditions, limitations and restrictions may be imposed for different classes of dealers""."
"Section
27(2)(d) of the Act states that a valid licence issued by the Administrator ""may contain such
conditions, limitations and restrictions as the Administrator may think fit to impose and different
conditions, limitations and restrictions may be imposed for different classes of dealers"".","The result is that clauses (a), (b), (c), (e)
and (g) are not severable and the entire Section 27(6) of the Act must be held invalid.","On the face
of it, this sub- section confers such wide and vague power upon the Administrator that it is difficult
to limit its scope."
"In our opinion Section 27(2)(d) of the Act must be struck down as an unreasonable
restriction on the fundamental right of the petitioners to carry on business.","On the face
of it, this sub- section confers such wide and vague power upon the Administrator that it is difficult
to limit its scope.","It appears, however, to
us that if Section 27(2)(d) and Section 27(6) of the Act are invalid the licensing scheme
contemplated by the rest of Section 27 of the Act cannot be worked in practice."
"It appears, however, to
us that if Section 27(2)(d) and Section 27(6) of the Act are invalid the licensing scheme
contemplated by the rest of Section 27 of the Act cannot be worked in practice.","In our opinion Section 27(2)(d) of the Act must be struck down as an unreasonable
restriction on the fundamental right of the petitioners to carry on business.","It is, therefore,
necessary for Parliament to enact fresh legislation imposing appropriate conditions and restrictions
for the grant and renewal of licences to dealers."
"In the alternative the Central Government may
make appropriate rules for the same purpose in exercise of its rule-making power under Section 114
of the Act.""","It is, therefore,
necessary for Parliament to enact fresh legislation imposing appropriate conditions and restrictions
for the grant and renewal of licences to dealers.",67.
"272, a part of Section 3 of the
National Security Ordinance was read down on the ground that ""acting in any manner prejudicial to
the maintenance of supplies and services essential to the community"" is an expression so vague that
it is capable of wanton abuse.","v. Union of India & Ors., [1982] 2 S.C.R.","The Court held:
""What we have said above in regard to the expressions 'defence of India', 'security of
India', 'security of the State' and 'relations of India with foreign powers' cannot apply
to the expression ""acting in any manner prejudicial to the maintenance of supplies
and services essential to the community"" which occurs in Section 3(2) of the Act."
"The Court held:
""What we have said above in regard to the expressions 'defence of India', 'security of
India', 'security of the State' and 'relations of India with foreign powers' cannot apply
to the expression ""acting in any manner prejudicial to the maintenance of supplies
and services essential to the community"" which occurs in Section 3(2) of the Act.","272, a part of Section 3 of the
National Security Ordinance was read down on the ground that ""acting in any manner prejudicial to
the maintenance of supplies and services essential to the community"" is an expression so vague that
it is capable of wanton abuse.","Which supplies and services are essential to the community can easily be defined by
the legislature and indeed, legislations which regulate the prices and possession of
essential commodities either enumerate those commodities or confer upon the
appropriate Government the power to do so."
"The reason for
this, which is stated in the Explanation itself, is that for the purposes of sub-section
(2), ""acting in any manner prejudicial to the maintenance of supplies essential to theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 32community"" does not include ""acting in any manner prejudicial to the maintenance
of supplies of commodities essential to the community"" as defined in the Explanation
to sub-section (1) of Section 3 of the Act of 1980.","According to the Explanation, no
order of detention can be made under the National Security Act on any ground on
which an order of detention may be made under the Prevention of Blackmarketing
and Maintenance of Supplies of Essential Commodities Act, 1980.","Clauses (a) and (b) of the
Explanation to Section 3(1) of the Act of 1980 exhaust almost the entire range of
essential commodities."
"Clauses (a) and (b) of the
Explanation to Section 3(1) of the Act of 1980 exhaust almost the entire range of
essential commodities.","The reason for
this, which is stated in the Explanation itself, is that for the purposes of sub-section
(2), ""acting in any manner prejudicial to the maintenance of supplies essential to theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 32community"" does not include ""acting in any manner prejudicial to the maintenance
of supplies of commodities essential to the community"" as defined in the Explanation
to sub-section (1) of Section 3 of the Act of 1980.","Clause (a) relates to committing or instigating any person to
commit any offence punishable under the Essential Commodities Act, 10 of 1955, or
under any other law for the time being in force relating to the control of the
production, supply or distribution of, or trade and commerce in, any commodity
essential to the community."
