Sentence,Previous,Next
"In order
to minimise  the hardship  involved  in  any  eviction,  the
slums, wherever  situated, will  not be  removed  until  one
month after  the end  of the current monsoon season, that is
until October  31, 1985  and, thereafter, only in accordance
with this  judgment.","[94 E-F]
     4.2 Pavement dwellers who were censused or who happened
to be  censused in  1976 should  be given,  though not  as a
condition precedent  to their  removal, alternate pitches at
Malavani  or,   at  such   other  convenient  place  as  the
Government considers  reasonable but  not  farther  away  in
terms of  distance; slum  dwellers who  were given  identity
cards and  whose dwellings  were numbered in the 1976 census
must be  given alternate sites for their resettlement; slums
which have been in existence for a long time, say for twenty
years or  more, and  which have  been improved and developed
will not  be removed  unless the land on which they stand or
the appurtenant  land, is  required for a public purpose, in
which  case,   alternate  sites  of  accommodation  will  be
provided to
61
them; the  'Low Income  Scheme Shelter  Programme' which  is
proposed to  be undertaken  with the  aid of  the World Bank
will  be   pursued  earnestly;  and  the  'Slum  Upgradation
Programme (SUP)' under which basic amenities are to be given
to slum dwellers will be implemented without delay.","If  any slum  is required to be removed
before that  date, parties  may apply  to the Supreme Court."
"If  any slum  is required to be removed
before that  date, parties  may apply  to the Supreme Court.","In order
to minimise  the hardship  involved  in  any  eviction,  the
slums, wherever  situated, will  not be  removed  until  one
month after  the end  of the current monsoon season, that is
until October  31, 1985  and, thereafter, only in accordance
with this  judgment.","Pavement dwellers,  whether censused or uncensused, will not
be removed until the same date viz."
"These Writ Petitions portray the plight of lakhs of persons
who live on pavements and in slums in the city of Bombay.","The Judgment of the Court was delivered by :
CHANDRACHUD, CJ.","They constitute nearly
half the population of the city."
"The first group of petitions relates to pavement
dwellers while the second group relates to both pavement and Basti or Slum dwellers.","They constitute nearly
half the population of the city.","Those who have made pavements their homes exist in the midst of filth and squalor,
which has to be seen to believed."
"They only choose a
pavement or a slum which is nearest to their place of work.","They have no option but to flock to big
cities like Bombay, which provide the means of bare subsistence.","In a word, their plea is
that the right to life is illusory without a right to the protection of the means by which
alone life can be lived."
"A slum-lord extorted a sum of Rs.2,50
from him in exchange of a shelter of plastic sheets and canvas on a pavement on the
Western Express Highway, Bombay.","He found a Job in a Chemical Company at Dahisar,
Bombay, on a daily wage of Rs-23 per day.","He lives in it with his wife and three daughters
who are 16, 13 and 5 years of age."
"The reliefs asked for in the two groups of writ petitions
are that the respondents should be directed to withdraw the decision to demolish the
pavement dwellings and the slum hutments and, where they are already demolished,
to restore possession of the sites to the former occupants.","The
petitioners also ask for a declaration that the provisions of sections 312, 313 and 314
of the Bombay Municipal Corporation Act, 1888 are in valid as violating Articles 14,
19 and 21 of the Constitution.","On behalf of the Government of Maharashtra, a counter- affidavit has been filed by V.S.Munje,
Under Secretary in the Department of Housing."
"He says that the pavement dwellers and the slum or basti dwellers, who number about
47.7 lakhs, constitute about 50 per cent of the total population of Greater Bombay, that they supply
the major work force for Bombay from menial Jobs to the most highly skilled jobs, that they have
been living in the hutments for generations, that they have been making a significant contribution to
the economic life of the city and that, therefore, it is unfair and unreasonable on the part of the State
Government and the Municipal Corporation to destroy their homes and deport them : A home is a
home wherever it is.","His case in paragraph 21 of his reply-affidavit seems to be that since, the
foot-paths are in the occupation of pavement dwellers for a long time, foot-paths have ceased to be
foot-paths.","The main theme of the reply-affidavit is that"" The slum dwellers are the sine
qua non of the city."
"The main theme of the reply-affidavit is that"" The slum dwellers are the sine
qua non of the city.","He says that the pavement dwellers and the slum or basti dwellers, who number about
47.7 lakhs, constitute about 50 per cent of the total population of Greater Bombay, that they supply
the major work force for Bombay from menial Jobs to the most highly skilled jobs, that they have
been living in the hutments for generations, that they have been making a significant contribution to
the economic life of the city and that, therefore, it is unfair and unreasonable on the part of the State
Government and the Municipal Corporation to destroy their homes and deport them : A home is a
home wherever it is.",They are entitled to a quid pro quo.
"He says that the legislature of Maharashtra had passed the Maharashtra Vacant Land
(Prohibition of unauthorised Occupation and Summary Eviction) Act, 1975 in pursuance of which
the Government had decided to compile a list of slums which were required to be removed in public
interest.","He filed an affidavit in answer to an
application for the modification of an interim order which was passed by this Court on October 19,
1981.","It was also decided that after a spot inspection, 500 acres of vacant land in and near the
Bombay Suburban District should be allocated for re-settlement of the hutment dwellers who were
removed from the slums."
"It was also decided that after a spot inspection, 500 acres of vacant land in and near the
Bombay Suburban District should be allocated for re-settlement of the hutment dwellers who were
removed from the slums.","He says that the legislature of Maharashtra had passed the Maharashtra Vacant Land
(Prohibition of unauthorised Occupation and Summary Eviction) Act, 1975 in pursuance of which
the Government had decided to compile a list of slums which were required to be removed in public
interest.","A Task Force was constituted by the Government for the purpose of
carrying out a census of the hutments standing on lands belonging to the Government of theOlga Tellis & Ors vs Bombay Municipal Corporation & Ors."
"A Census was,
accordingly, carried out on January 4, 1976 by deploying about 7,000 persons to enumerate the
slum dwellers spread over approximately 850 colonies all over Bombay.","Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 16Maharashtra, the Bombay Municipal Corporation and the Bombay Housing Board.","About 67 per cent of the
hutment dwellers from a total of about 2,60,000 hutments produced photographs of the heads of
their families, on the basis of which hutments were numbered and their occupants were given
identity cards."
"It was decided that slums which were in existence for a long time and which were
improved and developed would not normally be demolished unless the land was required for a
public purpose.","About 67 per cent of the
hutment dwellers from a total of about 2,60,000 hutments produced photographs of the heads of
their families, on the basis of which hutments were numbered and their occupants were given
identity cards.","In the event that the land was so required, the policy of the State Government was to
provide alternative accommodation to the slum dwellers who were censused and possessed identity
cards."
"In the event that the land was so required, the policy of the State Government was to
provide alternative accommodation to the slum dwellers who were censused and possessed identity
cards.","It was decided that slums which were in existence for a long time and which were
improved and developed would not normally be demolished unless the land was required for a
public purpose.","This is borne out by a circular of the Government dated February 4, 1976 (No."
"Shri Gokak says that the State Government has issued instructions directing, inter alia, that
""action to remove the slums excepting those which are on the foot-paths or roads or which are new
or casually located should not, therefore, be taken without obtaining approval from the Government
to the proposal for the removal of such slums and their rehabilitation.""",41).,"Since, it was never the policy
of the Government to encourage construction of hutments on foot- paths, pavements or other places
over which the public has a right of way, no census of such hutments was ever intended to be
conducted."
"The improvement of living conditions in the slums and the regional distribution of job
opportunities are the only viable remedies for relieving congestion of the population in the centre of
the city.","The grievance
is that, as a result of this imbalance, there are not enough jobs available in the northern tip of the
city.","The increase allowed by the State Government in the Floor Space Index over and above
1.33, has led to a further concentration of population in the centre of the city."
"Tarkunde and Mr. Ram Jethmalani cover a wide range but the main thrust of the petitioners'
case is that evicting a pavement dweller or slum dweller from his habitat amounts to depriving of his
right to livelihood, which is comprehended in the right guaranteed by Article 21 of the Constitution
that no person shall be deprived of his life except according to procedure established by law.","The arguments advanced before us by Ms. Indira Jaisingh, Mr.
V.M.","The
question of the guarantee of personal liberty contained in Article 21 does not arise and was not
raised before us."
"One of the grievances of the petitioners against the Bombay Municipal
Corporation Act, 1888 is that it is a century old antiquated piece of legislation passed in an era when
pavement dwellers and slum dwellers did not exist and the consciousness of the modern notion of a
welfare state was not present to the mind of the colonial legislature.","It is contended that it is the
responsibility of the courts to reduce inequalities and social imbalances by striking down statutes
which perpetuate them.","According to the petitioners,
connected with these issues and yet independent of them, is the question of the role of the Court in
setting the tone of values in a democratic society.Olga Tellis & Ors vs Bombay Municipal Corporation & Ors."
"Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 18The argument which bears on the provisions of Article 21 is elaborated by saying that the eviction of
pavement and slum dweller will lead, in a vicious circle, to the deprivation of their employment,
their livelihood and, therefore, to the right to life.","According to the petitioners,
connected with these issues and yet independent of them, is the question of the role of the Court in
setting the tone of values in a democratic society.Olga Tellis & Ors vs Bombay Municipal Corporation & Ors.","Our attention is drawn in this behalf to an extract
from the judgment of Douglas J in Baksey v. Board of Regents, 347 M.D."
"The right to live and the right to work are integrated and interdependent and, therefore, if a person
is deprived of his job as a result of his eviction from a slum or a pavement, his very right to life is put
in jeopardy.","To work means to eat and it also means to live.""","It is urged that the economic compulsions under which these persons are forced to live
in slums or on pavements impart to their occupation the character of a fundamental right."
"It is urged that the economic compulsions under which these persons are forced to live
in slums or on pavements impart to their occupation the character of a fundamental right.","The right to live and the right to work are integrated and interdependent and, therefore, if a person
is deprived of his job as a result of his eviction from a slum or a pavement, his very right to life is put
in jeopardy.","It is further urged by the petitioners that it is constitutionally impermissible to characterise the
pavement dwellers as ""trespassers"" because, their occupation of pavements arises from economic
compulsions."
"The slum census conducted by the
Government of Maharashtra in 1976 shows that 79% of the slum-dwellers belonged
to the low income group with a monthly income below Rs.600.","'The Economic Survey of Maharashtra' published by the State
Government shows that the bulk of public investment was made in the cities of
Bombay, Pune and Thane, which created employment opportunities attracting the
starving rural population to those cities.","The study conducted
by P. Ramachandran of the Tata Institute of Social Sciences shows that in 1972,91%
of the pavement dwellers had a monthly income of less than Rs.200."
"In
any event, the cost of housing provided even by these public sector agencies is beyond
the means of the slum and pavement- dwellers.","The principal public housing sectors in Maharashtra, namely, The Maharashtra
Housing and Area Development Agency (MHADA) and the City and Industrial
Development Corporation of Maharashtra Ltd. (CIDCO) have been able to construct
only 3000 and 1000 units respectively as against the annual need of 60,000 units.","Under the Urban Land (Ceiling and
Regulation) Act 1975, private land owners and holders are given facility to provide
housing to the economically weaker sections of the society at a stipulated price of
Rs.90 per sq.ft., which also is beyond the means of the slum and pavement-dwellers."
"Under the Urban Land (Ceiling and
Regulation) Act 1975, private land owners and holders are given facility to provide
housing to the economically weaker sections of the society at a stipulated price of
Rs.90 per sq.ft., which also is beyond the means of the slum and pavement-dwellers.","In
any event, the cost of housing provided even by these public sector agencies is beyond
the means of the slum and pavement- dwellers.",The reigning market price of houses in Bombay varies from Rs.150 per sq.ft.
"The pavement-dwellers and the slum-dwellers
who constitute 50% of the population of Bombay, occupy only 25% of the city's
residential land.","Thus, the reason why there are homeless people in
Bombay is not that there is no land on which homes can be built for them but, that
the planning policy of the State Government permits high density areas to develop
with vast tracts of land lying vacant.","It is in these circumstances that out of sheer necessity for a bare
existence, the petitioners are driven to occupy the pavements and slums."
"It is in these circumstances that out of sheer necessity for a bare
existence, the petitioners are driven to occupy the pavements and slums.","The pavement-dwellers and the slum-dwellers
who constitute 50% of the population of Bombay, occupy only 25% of the city's
residential land.","They live in
Bombay because they are employed in Bombay and they live on pavements because
there is no other place where they can live."
"A State which has failed in its
constitutional obligation to usher a socialistic society has no right to evict slum and
pavement-dwellers who constitute half of the city's population.","Apart from this, it is urged, the
restrictions which are sought to be imposed by the respondents on the use of
pavements by pavement-dwellers are not reasonable.","Therefore, sections
312,313 and 314 of the B.M.C."
"In so far as Article 21 is concerned,
no deprivation of life, either directly or indirectly, is involved in the eviction of the
slum and pavement-dwellers from public places.","Under
section 289(1) of the Act, all pavements and public streets vest in the Corporation
and are under the control of the Commissioner.","The Municipal Corporation is under
an obligation under section 314 of the B.M.C."
"As we have stated while summing up the petitioners' case, the main plank of their argument is that
the right to life which is guaranteed by Article 21 includes the right to livelihood and since, they will
be deprived of their livelihood if they are evicted from their slum and pavement dwellings, their
eviction is tantamount to deprivation of their life and is hence unconstitutional.","The petitions are clearly
maintainable under Article 32 of the Constitution.",For purposes ofOlga Tellis & Ors vs Bombay Municipal Corporation & Ors.
"The petitioners before us do not claim the right to dwell on pavements or in
slums for the purpose of pursuing any activity which is illegal, immoral or contrary to public
interest.","This decision is distinguishable
because, under the Constitution, no person can claim the right to livelihood by the pursuit of an
opprobrious occupation or a nefarious trade or business, like tourism, gambling or living on the
gains of prostitution.",Many of them pursue occupations which are humble but honourable.
"Turning to the factual situation, how far is it true to say that if the petitioners are evicted from their
slum and pavement dwellings, they will be deprived of their means of livelihood?",Many of them pursue occupations which are humble but honourable.,"It is impossible, in
the very nature of things, together reliable data on this subject in regard to each individual
petitioner and, none has been furnished to us in that form."
"That the eviction of a person from a
pavement or slum will inevitably lead to the deprivation of his means of livelihood, is a proposition
which does not have to be established in each individual case.","It is impossible, in
the very nature of things, together reliable data on this subject in regard to each individual
petitioner and, none has been furnished to us in that form.","That is an inference which can be
drawn from acceptable data."
"It would be unrealistic on our
part to reject the petitions on the ground that the petitioners have not adduced evidence to show
that they will be rendered jobless if they are evicted from the slums and pavements.","It is by that process that the
core of the problem can be reached and a satisfactory solution found.","Commonsense,
which is a cluster of life's experiences, is often more dependable than the rival facts presented by
warring litigants."
"These facts constitute empirical evidence to justify the conclusion that
persons in the position of petitioners live in slums and on pavements because they have small jobs
to nurse in the city and there is no where else to live.","It is estimated that about 200 to 300 people enter Bombay every
day in search of employment.","Evidently, they choose a pavement or a slum in
the vicinity of their place of work, the time otherwise taken in commuting and its cost being
forbidding for their slender means."
"Evidently, they choose a pavement or a slum in
the vicinity of their place of work, the time otherwise taken in commuting and its cost being
forbidding for their slender means.","These facts constitute empirical evidence to justify the conclusion that
persons in the position of petitioners live in slums and on pavements because they have small jobs
to nurse in the city and there is no where else to live.",To loss the pavement or the slum is to lose the job.
To loss the pavement or the slum is to lose the job.,"Evidently, they choose a pavement or a slum in
the vicinity of their place of work, the time otherwise taken in commuting and its cost being
forbidding for their slender means.","The
conclusion, therefore in terms of the constitutional phraseology is that the eviction of the petitioners
will lead to deprivation of their livelihood and consequently to the deprivation of life."
"Counsel attempted to demonstrate the practical futility of issuing the
show cause notice by pointing out firstly, that the only answer which a pavement
dweller, for example, can make to such a notice is that he is compelled to live on the
pavement because he has no other place to go to and secondly, that it is hardly likely
that in pursuance of such a notice, pavement dwellers or slum dwellers would ask for
time to vacate since, on their own showing, they are compelled to occupy some
pavement or slum or the other if they are evicted.","We have indicated
above that far from so intending, the Legislature has left it to the discretion of the
Commissioner whether or not to give notice, a discretion which has to be exercised
reasonably.","It may be true to say that, in the
generality of cases, persons who have committed encroachments on pavements or on
other public properties may not have an effective answer to give."
"It is a notorious fact
of contemporary life in metropolitan cities, that no person in his senses would opt to
live on a pavement or in a slum, if any other choice were available to him.","It may be true to say that, in the
generality of cases, persons who have committed encroachments on pavements or on
other public properties may not have an effective answer to give.","Anyone
who cares to have even a fleeting glance at the pavement or slum dwellings will see
that they are the very hell on earth."
"Anyone
who cares to have even a fleeting glance at the pavement or slum dwellings will see
that they are the very hell on earth.","It is a notorious fact
of contemporary life in metropolitan cities, that no person in his senses would opt to
live on a pavement or in a slum, if any other choice were available to him.","But, though this is so, the contention of the
Corporation that no notice need be given because, there can be no effective answer to
it, betrays a misunderstanding of the rule of hearing, which is an important element
of the principles of natural justice."
The eviction of the pavement or slum dweller not onlyOlga Tellis & Ors vs Bombay Municipal Corporation & Ors.,"Human compassion must soften the rough
edges of justice in all situation.","Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 31means his removal from the house but the destruction of the house itself."
"Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 33The charge made by the State Government in its affidavit that slum and pavement dwellers exhibit
especial criminal tendencies is unfounded.","(Chapter 21,
page 463, Article 185-'Necessity').Olga Tellis & Ors vs Bombay Municipal Corporation & Ors.","According to Dr. P.K.Muttagi, Head of the unit for urban
studies of the Tata Institute of Social Sciences, Bombay, the surveys carried out in 1972, 1977,1979
and 1981 show that many families which have chosen the Bombay footpaths just for survival, have
been living there for several years and that 53 per cent of the pavement dwellers are self-employed
as hawkers in vegetables, flowers, ice-cream, toys, balloons, buttons, needles and so on."
"The affidavit of Shri Arvind V. Gokak, Administrator of the Maharashtra Housing and Areas
Development Authority, Bombay, shows that the State Government had taken a decision to compile
a list of slums which were required to be removed in public interest and to allocate, after a spot
inspection, 500 acres of vacant land in or near the Bombay Suburban District for resettlement of
hutment dwellers removed from the slums.","The same criterion would apply to the Kamraj Nagar Basti as
would apply to the dwellings constructed unauthorisedly on other roads and pavements in the city.","A census was accordingly carried out on January 4, 1976
to enumerate the slum dwellers spread over about 850 colonies all over Bombay."
"A census was accordingly carried out on January 4, 1976
to enumerate the slum dwellers spread over about 850 colonies all over Bombay.","The affidavit of Shri Arvind V. Gokak, Administrator of the Maharashtra Housing and Areas
Development Authority, Bombay, shows that the State Government had taken a decision to compile
a list of slums which were required to be removed in public interest and to allocate, after a spot
inspection, 500 acres of vacant land in or near the Bombay Suburban District for resettlement of
hutment dwellers removed from the slums.","About 67% of the
hutment dwellers produced photographs of the heads of their families, on the basis of which the
hutments were numbered and their occupants were given identity cards."
"Shri Gokak further says in
his affidavit that the Government had also decided that the slums which were in existence for a long
time and which were improved and developed, would not normally be demolished unless the land
was required for a public purposes.","About 67% of the
hutment dwellers produced photographs of the heads of their families, on the basis of which the
hutments were numbered and their occupants were given identity cards.","In the event that the land was so required, the policy of the State
Government was to provide alternate accommodation to the slum dwellers who were censused and
possessed identity cards."
"In the event that the land was so required, the policy of the State
Government was to provide alternate accommodation to the slum dwellers who were censused and
possessed identity cards.","Shri Gokak further says in
his affidavit that the Government had also decided that the slums which were in existence for a long
time and which were improved and developed, would not normally be demolished unless the land
was required for a public purposes.","The Circular of the State Government dated February 4, 1976 (No."
"Secondly, slum dwellers who were censused and were given
identity cards must be provided with alternate accommodation before they are evicted.","Act is valid, pavement dwellers to whom census cards were given in
1976 must be given alternate pitches at Malavani though not as a condition precedent to the removal
of encroachments committed by them.","There is a
controversy between the petitioners and the State Government as to the extent of vacant land which
is available for resettlement of the inhabitants of pavements and slums."
"There is a
controversy between the petitioners and the State Government as to the extent of vacant land which
is available for resettlement of the inhabitants of pavements and slums.","Secondly, slum dwellers who were censused and were given
identity cards must be provided with alternate accommodation before they are evicted.","Whatever that may be, the
highest priority must be accorded by the State Government to the resettlement of these unfortunate
persons by allotting to them such land as the Government finds to be conveniently available."
"The affidavit contains useful
information on various aspects relating to slum and pavement dwellers.","Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 35During the course of arguments, an affidavit was filed by Shri S.K.Jahagirdar, Under Secretary in
the Department of Housing, Government of Maharashtra, setting out the various housing schemes
which are under the consideration of the State Government.","The census of 1976 which is
referred to in that affidavit shows that 28.18 lakhs of people were living in 6,27,404 households
spread over 1680 slum pockets."
"The census of 1976 which is
referred to in that affidavit shows that 28.18 lakhs of people were living in 6,27,404 households
spread over 1680 slum pockets.","The affidavit contains useful
information on various aspects relating to slum and pavement dwellers.","The earning of 80 per cent of the slum house holds did not exceed
Rs.600 per month."
"The earning of 80 per cent of the slum house holds did not exceed
Rs.600 per month.","The census of 1976 which is
referred to in that affidavit shows that 28.18 lakhs of people were living in 6,27,404 households
spread over 1680 slum pockets.","The State Government has a proposal to undertake 'Low Income Scheme Shelter
Programme' with the aid of the World Bank."
"The State Government is also proposing
to undertake 'Slum Upgradation Programme(SUP)' under which basic civic amenities would be
made available to the slum dwellers.","Under the Scheme, 85,000 small plots for construction
of houses would become available, out of which 40,000 would be in Greater Bombay, 25,00 in the
Thane-Kalyan area and 20,000 in the New Bombay region.","We trust that these Schemes, grandiose as they appear, will be
pursued faithfully and the aid obtained from the World Bank utilised systematically and effectively
for achieving its purpose."
"Apart from the further misery and
degradation which it involves, eviction of slum and pavement dwellers is an ineffective remedy for
decongesting the cities.","Therefore, what is of crucial importance to the question of thinning out the squatters'
colonies in metropolitan cities is to create new opportunities for employment in the rural sector and
to spread the existing job opportunities evenly in urban areas.","In a highly readable and moving account of the problems which the poor
have to face, Susan George says: ('How the other Half Dies The Real Reasons for World Hunger'
(Polican books)."
"Stated
briefly, pavement dwellers who were censused or who happened to be censused in
1976 should be given, though not as a condition precedent to their removal, alternate
pitches at Malavani or at such other convenient place as the Government considers
reasonable but not farther away in terms of distance; slum dwellers who were given
identity cards and whose dwellings were numbered in the 1976 census must be given
alternate sites for their resettlement; slums which have been in existence for a long
time, say for twenty years or more, and which have been improved and developed will
not be removed unless the land on which they stand or the appurtenant land, is
required for a public purposes, in which case, alternate sites or accommodation will
be provided to them, the 'Low Income Scheme Shelter Programme' which is proposed
to be undertaken with the aid of the World Bank will be pursued earnestly; and, the
Slum Upgradation Programme (SUP)' under which basic amenities are to be given to
slum dwellers will be implemented without delay.","We have referred to the assurances given by the State
Government in its pleadings here which, we repeat, must be made good.","In order to minimise the hardship
involved in any eviction, we direct that the slums, wherever situated, will not be
removed until one month after the end of the current monsoon season, that is, until
October 31,1985 and, thereafter, only in accordance with this judgment."
"In order to minimise the hardship
involved in any eviction, we direct that the slums, wherever situated, will not be
removed until one month after the end of the current monsoon season, that is, until
October 31,1985 and, thereafter, only in accordance with this judgment.","Stated
briefly, pavement dwellers who were censused or who happened to be censused in
1976 should be given, though not as a condition precedent to their removal, alternate
pitches at Malavani or at such other convenient place as the Government considers
reasonable but not farther away in terms of distance; slum dwellers who were given
identity cards and whose dwellings were numbered in the 1976 census must be given
alternate sites for their resettlement; slums which have been in existence for a long
time, say for twenty years or more, and which have been improved and developed will
not be removed unless the land on which they stand or the appurtenant land, is
required for a public purposes, in which case, alternate sites or accommodation will
be provided to them, the 'Low Income Scheme Shelter Programme' which is proposed
to be undertaken with the aid of the World Bank will be pursued earnestly; and, the
Slum Upgradation Programme (SUP)' under which basic amenities are to be given to
slum dwellers will be implemented without delay.","If any slum is
required to be removed before that date, parties may apply to this Court."
"If any slum is
required to be removed before that date, parties may apply to this Court.","In order to minimise the hardship
involved in any eviction, we direct that the slums, wherever situated, will not be
removed until one month after the end of the current monsoon season, that is, until
October 31,1985 and, thereafter, only in accordance with this judgment.","Pavement
dwellers, whether censused or uncensused, will not be removed until the same date
viz."
