Sentence,Previous,Next
"To acceptBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 10this  contention  would  be  to  introduce  the  adversarial
procedure in  a proceeding  where in the given situation, it
is totally inapposite.","But it would not be
correct to  say that  the report  of the commissioner has no
evidentiary value at all, since the statements
74
made in  it are  not tested  by cross-examination.","[111 B-H, 112, A-B]
     11."
"[113 B-D]Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 11     3: 1.","In fact,
the jurisdiction  of the  High Courts  under Article  226 is
much wider, because the High Courts are required to exercise
this jurisdiction  not only for enforcement of a fundamental
right but  also for enforcement of any legal right and there
are many  rights conferred on the poor and the disadvantaged
which are  the creation  of statute  and  they  need  to  be
enforced as  urgently and  vigorously as fundamental rights.","The Stone  quarries  in  the  instant  case  are
""mines"" within the meaning of the Section 2 (j) of the Mines
Act, 1952  since they  are excavations  where operations for
the purpose of searching for or obtaining stone by quarrying
are being  carried on  but they  are not  open cast working'
since admittedly  excavations in  the case  of  these  stone
quarries extend below superjacent ground."
"The  Inter-state  Migrant  Workmen  (Regulation  of
Employment and  conditions of  Service) Act,  by sub-sectionBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 12(4) of  section (1)  applies to every establishment in which
five or  more inter-State  Migrant workmen  are employed  or
were employed  on any day of the preceding twelve months and
so also  it applies  to  every  contractor  who  employs  or
employed five or more inter-State migrant workmen on any day
of the  preceding twelve months.","[113  G-H, 114 A, 115 A, E, G,
116 B-F, 117 C-D]
     13.","Section (2) sub-section (1)
Clause (b)  of the Act defines contractor, in relation to an
establishment, to  mean ""a person who undertakes (whether as
an independent  contractor, agent, employee or otherwise) to
produce a  given result  for the establishment, other than a
mere supply  of goods  and articles  of manufacture  to such
establishment, by  the employment  of workmen  or to  supply
workmen to  the establishment, and includes a subcontractor,
khatedar, sardar,  agent or  any other  person, by  whatever
name called, who recruits or employs workman."""
"[117 F-H,Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 13119 E-A-120 A]
     14.","But
this liability  is not  confined  only  to  the  contractor,
because Section  18 provides  in so  many terms  that if any
allowance required  to be  paid under-section 14 or 15 to an
inter-State migrant workman is not paid by the contractor or
if any  facility specified in Section 16 is not provided for
the benefit of such workman, such allowance shall be paid or
as the  case may  be, the  facility shall be provided by the
principal employer  within such time as may be prescribed by
the Rules  and all  the allowances  paid  by  the  principal
employer or  all  the  expenses  incurred  by  him  in  this
connection may  be recovered  by  him  from  the  contractor
either  by   deduction  from   the  amount  payable  to  the
contractor or as a debt payable by the contractor.","The  thekedar or jamadar who is engaged by the mine
lessees or  the stone  crusher owners  to recruit workmen or
employ them  on behalf  of the mine lessees or stone crusher
owners would clearly be a 'contractor' within the meaning of
that term as defined in Section 2 sub-section (1) clause (b)
and the  workmen recruited  by or  through  him  from  other
States for  employment  in  the  stone  quarries  and  stone
crushers in the State of Haryana would undoubtedly be inter-
State migrant  workman ."
"Where  therefore  the  thekedar  for
Jamadar is  a Contractor,  and the  workmen are  employed as
'contract labour' within the meaning of these expressions as
used in  the Contract  Labour Act  the Contractor as well asBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 14the principal  employer would  be liable  to comply with the
provisions of  the Contract  Labour  Act  and  the  Contract
Labour Rules  and to  provide to  the contract labour rights
and benefits  conferred by  these  provisions.","If  the Jamadar  or thekadar  in a  stone quarry or
stone crusher  is a  contractor' within  the meaning  of the
definition of the term in the Inter-State Migrant
77
Workmen Act,  he would a fortiorari be 'contractor' also for
the purpose  of Contract Labour Act and any workmen hired in
or in  connection with  the work  of stone  quarry or  stone
crusher by  or through  the jamadar  or  thekedar  would  be
workmen entitled  to the  benefit of  the provisions  of the
Contract  Labour  Act.","The  Central
Government being  the ""appropriate  government""  within  the
meaning of  section 2  sub-section (1)  clause (a)  would be
responsible for  ensuring compliance  with the provisions of
the Contract Labour Act and the Contract Labour Rules by the
mine-lessees and  stone crushers  owners and the thekedar or
jamadar."
"But  asBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 15official, semi-official  and non-official  reports show,  we
have yet to go a long way in wiping out this outrage against
humanity.","The Act was brought into force through out the
length and  breadth of  the country  with effect  from  25th
October 1975, which means that the Act has been in force now
for almost  8 years  and if  properly implemented, it should
have by  this time  brought about  complete  identification,
freeing  and   rehabilitation  of   bonded  labour.","[126 A-C]
     18."
"That would be a totally futile process because it is obvious
that a  bonded labourers  can never stand up to the regidity
and formalism  of the  legal process  due  to  his  poverty,
illiteracy and  social and economic backwardness and if suchBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 16a  procedure   were  required  to  be  followed,  the  State
Government might  as  well  obliterate  this  Act  from  the
statute book.","[130 F-H, 131 A]
     It would  be cruel  to insist  that a  bonded labour in
order  to   derive  the  benefits  of  this  social  welfare
legislation, should  have to  go through a formal process of
trial with  the normal  procedure for recording of evidence.","It is now statistically established that most
of bonded  labourers are  members of  Scheduled  Castes  and
Scheduled Tribes  or other  backward  classes  and  ordinary
course of  human affairs  would show, indeed judicial notice
can be  taken of  it, that  there would be no occasion for a
labourer to be placed in a situation where he is required to
supply forced labour for no wage or for nominal wage, unless
he has received some advance of other economic consideration
from the  employer and  under  the  consideration  from  the
employer and  under the  pretext of not having returned such
advance or  other economic  consideration, he is required to
render service to the employer or is deprived of his freedom
of employment  or of  the right  to move  freely wherever he
wants."
"In  constituting
Vigilance Committee  in each  District and sub-division, the
Haryana Government  would do well to include representatives
of non-political social action groups operating at the grass
root level, for it is only through such social action groupsBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 17and voluntary  agencies that  the problems of identification
of bonded labour can be effectively solved.","It may  be that  according to the Government of
Haryana there  were not  at any  time any  bonded  labourers
within its territories, but even so Vigilance Committees are
required  by  Section  13  to  be  constituted  because  the
function of  the Vigilance  Committee is  to identify bonded
labourers, if  there are  any, and  to free and rehabilitate
them and  it would not be right for the State Government not
to constitute  vigilance Committees  on the  assumption that
there are  no  bonded  labourers  at  all.","[128 E-H, 129 A-
B]
     The magistrates  and  judicial  officers  take  a  very
lenient view  of violations  of labour  laws enacted for the
benefits of the workmen and let off the defaulting employers
with small  fines."
"Public interest litigation
is said to possess the potential or providing such access in
the milieu of a new ethos, in which participating sectors inBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 18the administration of justice cooperate in the creation of a
system  which   promises  legal  relief  without  cumbersome
formality and  heavy expenditure.","These handicaps  have denied millions of
our countrymen access to justice.","In the  result, the legal
organisation has  taken on  a radically  new dimension,  and
correspondingly  new  perspectives  are  opening  up  before
judges and  lawyers and  State Law  agencies  in  the  tasks
before them."
"[154 D: 156 A-Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 19C]
     2:1.","Despite  the varying  fortunes of the number of
cases of  public interest  litigation which have entered the
Supreme Court,  Public Interest Litigation constitutes today
a significant  segment of the court's docket.","The  provisions of  Article 32 do not specifically
indicate who  can move  the  Court."
"This requirement isBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 20all the  greater where  petitions are  received by the Court
through  the   post.","Therefore,  in  special  circumstances  the
document  petitioning   the  court   for  relief  should  be
supported by  satisfactory verification.","It   is  never  beyond  the  bound  of
possibility  that   an  unverified   communication  received
through the post by the court may in fact have been employed
mala fide,  as an  instrument of  coercion or  blackmail  or
other oblique  motive against  a person  named  therein  who
holds a position of honour and respect in society."
"In  public interest  litigation, the  role held by
the Court  is more  assertive than  in traditional  actions.Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 21Viewed from  the Warren  Court's experience  the role of the
Court is creative rather than passive, and it assumes a more
positive attitude  in determining  facts.","[158 E-H;
159 A]
     4:1.","Not  infrequently
public interest litigation affects the rights of persons not
before the  Court, and  in shaping the relief the court must
invariably take  into account its impact on those interests."
"What  should be  the  conceivable  frame  work  of
procedure in  public interest litigation does not admit of aBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 22clear cut  answer.","[159 H;
160 A-D]
     4:3.","It  is not possible to envisage a defined
pattern of  procedure applicable  to all cases."
"And yet it is well recognised that in aBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 23certain sphere  the legislature  is  possessed  of  judicial
power, the executive possesses a measure of both legislative
and judicial  functions, and  the  court,  in  its  duty  of
interpreting the law, accomplished in its perfected action a
marginal degree of legislative exercise.","It  is common  place  that
while  the   legislature  enacts   the  law   the  executive
implements it  and the court interprets it and, in doing so,
adjudicates on  the validity  of executive  action and under
our  Constitution,   even  judges   the  validity   of   the
legislation itself.","Nonetheless, a fine
and delicate  balance is  envisaged under  our  Constitution
between these  primary institutions  of the  State."
"Thus  does he  maintain the  legitimacy  of  theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 24institution he  serves and honour the trust which his office
has reposed in him.","The Judge, conceived
in the true classical mould, is an impartial arbiter, beyond
and above political bias and prejudice, functioning silently
in  accordance   with  the  Constitution  and  his  judicial
conscience.","[162 D-H]
     The  affirmative  schemes  framed  in  public  interest
litigation  by   the  Court   sometimes   require   detailed
administration  under  constant  judicial  supervision  over
protected periods."
"In that task theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 25court must  ever be  conscious of  the constitutional truism
that it  possesses the sanction of neither the sword nor the
pursue and  that  its  strength  lies  basically  in  public
confidence and support, and that consequently the legitimacy
of its  acts and  decisions must  remain beyond  all  doubt.","In  the centre  of a  social order  changing
with dynamic  pace, the Court needs to balance the authority
of the  past with  the urges of the future.","Therefore, whatever the case before it, whatever the context
of facts  and legal rights, whatever the social and economic
pressures of  the times, whatever the personal philosophy of
the Judge,  let it  not  be  forgotten  that  the  essential
identity of the institution, that it is a Court, must remain
preserved so  that every  action of the Court is informed by
the fundamental norms of law, and by the principles embodied
in the  Constitution  and  other  sources  of  law."
"Persons in this country obliged to serve as bondedBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 26labour  are   entitled  to   invoke  Article   23   of   the
Constitution.","[65 E-F]
     6:1.","The  provisions embodied in that clause form a
vital constituent  of the  Fundamental Rights  set forth  in
Part III  of the  Constitution, and their violation attracts
properly the  scope of  Article 32 of the Constitution."
"Whenever any  person is wrongfully and illegally deprived of
his liberty,  it is open to anybody who is interested in theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 27person  to   move  this   Court  under  Article  32  of  the
Constitution for  his release.","There  cannot be  any manner of doubt that any
person who  is wrongfully  and  illegally  detained  and  is
deprived of  his  liberty  can  approach  this  Court  under
Article 32  of the Constitution for his freedom and wrongful
and  illegal  detention,  and  for  being  set  at  liberty.","It may  not  very  often  be
possible for the person who is deprived of his liberty to
87
approach this  Court, as  by  virtue  of  such  illegal  and
wrongful detention,  he may not be free and in a position to
move the Supreme Court."
"There cannot  be any  doubt that  this Court  should usually
follow the  procedure laid  down in  O.XXXV of  the Rules ofBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 28this Court and should normally insist on a petition properly
verified by  an affidavit to be filed to enable the Court to
take necessary  action on the same.","Procedural law which also
forms a part of the law and has to be observed, is, however,
subservient to substantive law and the laws of procedure are
prescribed for promoting and furthering the ends of justice.","Though this Court should
normally insist on the rules of procedure being followed, it
cannot be  said, taking  into consideration  the  nature  of
right conferred  under Article  32  to  move this Court by an
appropriate proceeding and the very wide powers conferred on
this Court  for granting  relief in the case of violation of
fundamental  rights,   that  this   Court   will   have   no
jurisdiction to entertain any proceeding which may not be in
conformity with  procedure prescribed  by the  Rules of this
Court."
"Further in  various cases  the Court hasBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 29refused to  take any  notice of  letters or  other  kind  of
communications addressed to Court and in many cases also the
Court on  being moved by a letter has directed a formal writ
petition to  be filed  before  it  has  decided  to  proceed
further in the matter.","A  long  standing
practice of  the Court  in  the  matter  of  procedure  also
acquired sanctity.","[170 F-H; 171 A-D]
     2:3."
"In various  cases, because  of  the
peculiar facts  and circumstances  of  the  case  the  party
approaching this Court for enforcement of fundamental rights
may not  be in  a position to furnish all relevant materialsBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 30and necessary  particulars.","On   a   proper
consideration of  the materials  the Court  has to come to a
conclusion  whether   there  has   been  any   violation  of
fundamental rights  to enable the court to grant appropriate
reliefs in  the matter.","If,  however, on a consideration
of the  materials placed,  the Court  is  satisfied  that  a
proper probe  into the  matter is  necessary in  the  larger
interest of administration of justice and for enforcement of
fundamental rights  guaranteed, the  Court, in  view of  the
obligations  and   duty  cast  upon  it  of  preserving  and
protecting  fundamental   rights,  may  require  better  and
further materials  to enable  the Court  to take appropriate
action; and  there cannot be anything improper in the proper
exercise of  Court's jurisdiction  under Article  32 of  the
Constitution  to  try  to  secure  the  necessary  materials
through appropriate  agency."
"Such  power must necessarily be held to
be implied  within the  very wide  powers conferred  on this
Court  under  Article  32  for  enforcement  of  fundamental
rights.Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 3190
For proper  exercise of  its powers  under Article 32 of the
Constitution and  for due  discharge of  the obligation  and
duty cast  upon this  Court in  the matter of protection and
enforcement of  fundamental rights  which  the  Constitution
guarantees, this  Court has an inherent power to act in such
a manner  as will  enable this Court to discharge its duties
and  obligations   under  Article  32  of  the  Constitution
properly  and   effectively  in   the  larger   interest  of
administration of  justice, and  for  proper  protection  of
Constitution safeguards.","The Commission that the Court
appoints or  the investigation  that the Court directs while
dealing  with   a  proceeding   under  Article   32   of  the
Constitution is  not a  commission or enquiry under the Code
of Civil  Procedure.","[173 C-G]
     4."
"4,5,7, 8 & 9.Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 32K.B.",Dhingra for the Respondent Nos.,Rohtagi and S.I.
"It wasBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 33only in 1976 that Parliament enacted the Bonded Labour System (Abolition) Act,
1976 providing for the abolition of bonded labour system with a view to preventing
the economic and physical exploitation of the weaker sections of the people.","But, it appears that though the Constitution was enacted as far back as 26th
January, 1950 and many years passed since then, no serious effort was made to give
effect to Article 23 and to stamp out the shocking practice of to bonded labour.","But,
unfortunately, as subsequent events have shown and that is borne out also by the
Report made by the Centre for Rural Development Administration, Indian Institute
of Public Administration to the Ministry of Labour Government of India on
""Rehabilitation of Bonded Labour in Monghyr District, Bihar"", the Report made by
the Public Policy and Planning Division of the Indian Institute of Public
Administration to the Ministry of Labour, Government of India on ""Evaluation Study
of Bonded Labour Rehabilitation Scheme In Tehri Garhwal, U.P."
"It is not uncommon to find that the administration inBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 34some States is not willing to admit the existence of bonded labour, even though it exists in their
territory and there is incontrovertible evidence that it does so exist.","It is a problem which needs
urgent attention of the Government of India and the State Governments and when the Directive
Principles of State Policy have obligated the Central and the State Governments to take steps and
adopt measures for the purpose of ensuring social justice to the have-notes and the handicapped, it
is not right on the part of the concerned governments to shut their eyes to the inhuman exploitation
to which the bonded labourers are subjected.","We fail to see why the
administration should feel shy in admitting the existence of bonded labour, because it is not the
existence of bonded labour that is a slur on the administration but its failure to take note of it and to
take all necessary steps for the purpose of putting an end to the bonded labour system by quickly
identifying, releasing and permanently rehabilitating bonded labourers."
"The petitioner made a survey of some of the stone quarries in Faridabad district near the city of
Delhi and found that there were a large number of labourers from Maharashtra, Madhya Pradesh,
Uttar Pradesh and Rajasthan who were working in these stone quarries under ""inhuman andBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 35intolerable conditions"" and many of whom were bonded labourers.","But we do not wish to
anitcipate the discussion in regard to this argument and at the present stage we content ourselves by
merely observing that it is unfortunate that any State Government should take up the plea that
persons who are forced to provided labour may be forced labourers but unless it is shown by them
by proper evidence tested by cross-examination that they are forced to provide labour against a
bonded debt, they cannot be said to be bonded labourers and the State Government cannot be held
to be under any obligation to rehabilitate them.","The petitioner therefore
addressed a letter to one of us on 25th February, 1982 pointing out that in the mines of Shri S.L."
"TheBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 36petitioner in the end prayed that a writ be issued for proper implementation of these provisions of
the Constitution and statutes with a view to ending the misery, suffering and helplessness of ""these
victims of most inhuman exploitation"".","The petitioner also set out the various provisions of the Constitution and the statutes which were not
being implemented or observed in regard to the labourers working in these stone quarries.","The letter dated 25th February 1982 addressed by the petitioner was treated as a writ petition and
by an order dated 26th February 1982 this Court issued notice on the writ petition and appointed
two advocates, namely, M/s."
