Sentence,Previous,Next
"14  was violated  inasmuch as the pension
rules  which   were  statutory   in  character   meted   out
differential and  discriminatory treatment  to equals in the
matter of computation of pension from the dates specified in
the impugned memoranda.","The division
which classified  the pensioners  into two  classes  on  the
basis of  the specified  date was  devoid  of  any  rational
principle and  was both  arbitrary  and  unprincipled  being
unrelated to  the object  sought to  be achieved by grant of
liberalised pension  and the  guarantee of  equal  treatment
contained in  Art.","[190 F-H, 194 A-C, 194 F-H]
     (ii) Prior  to the  liberalisation of  the formula  for
computation of  pension average  emoluments of  the last  36D.S."
"[190 F-H, 194 A-C, 194 F-H]
     (ii) Prior  to the  liberalisation of  the formula  for
computation of  pension average  emoluments of  the last  36D.S.","14  was violated  inasmuch as the pension
rules  which   were  statutory   in  character   meted   out
differential and  discriminatory treatment  to equals in the
matter of computation of pension from the dates specified in
the impugned memoranda.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 4months' service  of the  employee provided  the  measure  of
pension."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 4months' service  of the  employee provided  the  measure  of
pension.","[190 F-H, 194 A-C, 194 F-H]
     (ii) Prior  to the  liberalisation of  the formula  for
computation of  pension average  emoluments of  the last  36D.S.","By  the liberalised  scheme, it  is now  reduced to
average emoluments  of the  last 10 months' service."
"Coupled with it a
slab system  for computation  has been  introduced  and  the
ceiling of  pension has  been raised.","Pension
would now be on the higher side on account of two fortuitous
circumstances, namely,  that the  pay scales  permit  annual
increments and  usually there are promotions in the last one
or two  years of  the employee's  service.","Pensioners who retired
prior to  the specified  date would  suffer triple jeopardy,
viz., lower  average emoluments,  absence of slab system and
lower ceiling."
"[191 A-D]
     (iii) Both  the impugned memoranda do not spell out the
raison d'etre  for liberalising  the pension formula.","Pensioners who retired
prior to  the specified  date would  suffer triple jeopardy,
viz., lower  average emoluments,  absence of slab system and
lower ceiling.","In the
affidavit in opposition it is stated that the liberalisation
was decided  by the  government in  view of  the  persistent
demand of  the employees  represented in the scheme of Joint
Consultative Machinery."
"The government also took
note of the fact that continuous upward movement of the cost
of living  index and  diminishing purchasing  power of rupee
necessitated upward revision of pension.","This would  clearly imply  that the
pre-liberalised scheme  did not  provide adequate protection
in old  age, and that a further liberalisation was necessary
as a  measure of economic security.","When the government
favourably responded  to the  demand it  thereby ipso  facto
conceded that  there was  a larger  available national cake,
part  of  which  could  be  utilised  for  providing  higher
security  to   retiring  employees."
"[198 F]
     In the  instant case, the petitioners do not challenge,
but seek  the benefit  of the  liberalised  pension  scheme.","If  removal of arbitrariness can be brought about by
severing the  mischievous portion,  the discriminatory  part
ought  to  be  removed  retaining  the  beneficial  portion.","Their grievance  is of  the denial  to them  of the  same by
arbitrary introduction  of words  of  limitation."
"and in Exhibit P-2, the words:
          ""the new  rates of  pension are effective from Ist
     April 1979  and  will  be  applicable  to  all  service
     officers who  became/become noneffective  on  or  after
     that date""
are  unconstitutional   and  are   struck  down   with   the
specification  that  the  date  mentioned  therein  will  be
relevant as  being one  from which  the liberalised  pension
scheme becomes operative.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 5          ""That in  respect of  the Government  servants who
     were in  service on  the 31st  March, 1979 and retiring
     from service on or after that date.","Omitting the unconstitutional part
it is  declared that  all pensioners  governed by  the  1972
Rules and  Army Pension  Regulations shall  be  entitled  to
pension as  computed under  the liberalised  pension  scheme
from  the  specified  date,  irrespective  of  the  date  of
retirement."
"Omitting the unconstitutional part
it is  declared that  all pensioners  governed by  the  1972
Rules and  Army Pension  Regulations shall  be  entitled  to
pension as  computed under  the liberalised  pension  scheme
from  the  specified  date,  irrespective  of  the  date  of
retirement.","and in Exhibit P-2, the words:
          ""the new  rates of  pension are effective from Ist
     April 1979  and  will  be  applicable  to  all  service
     officers who  became/become noneffective  on  or  after
     that date""
are  unconstitutional   and  are   struck  down   with   the
specification  that  the  date  mentioned  therein  will  be
relevant as  being one  from which  the liberalised  pension
scheme becomes operative.","Arrears  of pension  prior to the specified date
as per  fresh computation is not admissible."
"Arrears  of pension  prior to the specified date
as per  fresh computation is not admissible.","Omitting the unconstitutional part
it is  declared that  all pensioners  governed by  the  1972
Rules and  Army Pension  Regulations shall  be  entitled  to
pension as  computed under  the liberalised  pension  scheme
from  the  specified  date,  irrespective  of  the  date  of
retirement.","[190A-C, 198 G,
198 E-F, 205 F-H, 209 F-H, 210 A-D]
     D.R."
"(ii) The  reading down  of the  impugned  memoranda  by
severing the  objectionable portion  would  not  render  the
liberalised   pension   scheme   vague,   unenforceable   or
unworkable.","Louisville Gas  Co. v.  Alabama Power  Co., 240 U.S. 30
[1927], referred to.","The Court is not legislating in reading down the
memoranda;  when   the  Court  strikes  down  the  basis  of
classification as  violative of  Art."
"There   is   no   difficulty   in
implementing the  scheme omitting  the event happening after
the specified  date, retaining  the more  human formula  for
computation  of   pension.","14  it merely  sets at
naught   the    unconstitutional   portion   retaining   the
constitutional  portion.","The  pension  will  have  to  be
recomputed  in   accordance  with   the  provisions  of  the
liberalised pension  scheme as  salaries were required to be
recomputed in  accordance with  the  recommendation  of  the
Third  Pay   Commission  but  becoming  operative  from  the
specified date."
"The  pension  will  have  to  be
recomputed  in   accordance  with   the  provisions  of  the
liberalised pension  scheme as  salaries were required to be
recomputed in  accordance with  the  recommendation  of  the
Third  Pay   Commission  but  becoming  operative  from  the
specified date.","There   is   no   difficulty   in
implementing the  scheme omitting  the event happening after
the specified  date, retaining  the more  human formula  for
computation  of   pension.","The Court  is satisfied that the additional
financial liability that may be imposed by bringing
169
in pensioners  who retired prior to April 1, 1979 within the
fold of the liberalised pension scheme is not too high to be
unbearable or  such as  would have  detracted the Government
from covering  the old  pensioners  under  the  scheme."
"The Court  is satisfied that the additional
financial liability that may be imposed by bringing
169
in pensioners  who retired prior to April 1, 1979 within the
fold of the liberalised pension scheme is not too high to be
unbearable or  such as  would have  detracted the Government
from covering  the old  pensioners  under  the  scheme.","The  pension  will  have  to  be
recomputed  in   accordance  with   the  provisions  of  the
liberalised pension  scheme as  salaries were required to be
recomputed in  accordance with  the  recommendation  of  the
Third  Pay   Commission  but  becoming  operative  from  the
specified date.","The
severance of  the nefarious  unconstitutional part  does not
adversely affect  future pensioners  and their  presence  in
these petitions is irrelevant.D.S."
"The
severance of  the nefarious  unconstitutional part  does not
adversely affect  future pensioners  and their  presence  in
these petitions is irrelevant.D.S.","The Court  is satisfied that the additional
financial liability that may be imposed by bringing
169
in pensioners  who retired prior to April 1, 1979 within the
fold of the liberalised pension scheme is not too high to be
unbearable or  such as  would have  detracted the Government
from covering  the old  pensioners  under  the  scheme.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 6              [204 G-H, 197 E-F, 206 B, 196 G, 208 G, 199 B]
     (iii)  To  say  that  by  its  approach  the  Court  is
restructuring the  liberalised pension  scheme is  to ignore
the constitutional  mandate."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 6              [204 G-H, 197 E-F, 206 B, 196 G, 208 G, 199 B]
     (iii)  To  say  that  by  its  approach  the  Court  is
restructuring the  liberalised pension  scheme is  to ignore
the constitutional  mandate.","The
severance of  the nefarious  unconstitutional part  does not
adversely affect  future pensioners  and their  presence  in
these petitions is irrelevant.D.S.","The  Court  is  not  conferring
benefits  by   its  approach;   it  is   only  removing  the
illegitimate classification  and after  its removal  the law
takes its own course."
"The   executive,   with
parliamentary mandate, liberalised the pension scheme.","[206 D-E]
     (iv)  It   is  not   correct  to   say  that   if   the
unconstitutional part  is struck  down the  Parliament would
not  have   enacted  the   measure.","It is
implicit in  the scheme  that the  need to  grant  a  little
higher rate  of pension  to the  pensioners  was  considered
eminently just."
"It is
implicit in  the scheme  that the  need to  grant  a  little
higher rate  of pension  to the  pensioners  was  considered
eminently just.","The   executive,   with
parliamentary mandate, liberalised the pension scheme.","One could  have understood  persons in  the
higher pay  bracket being  excluded from  the benefit of the
scheme because  it would have meant that those in the higher
pay bracket  could fend  for themselves."
"Assuming the
government had not prescribed the specified date and thereby
provided that  those retiring,  pre and  past the  specified
date, would  all be  governed  by  the  liberalised  pension
scheme it  would be  both prospective  and retroactive.","Pension  has
correlation  to   average  emoluments   and  the  length  of
qualifying service  and any  liberalisation would  pro tanto
ber etroactive in the narrow sense of the term.","Only
the pension  will have  to be recomputed in the light of the
formula  enacted  in  the  liberalised  pension  scheme  and
effective from the date the revised scheme comes into force."
"Only
the pension  will have  to be recomputed in the light of the
formula  enacted  in  the  liberalised  pension  scheme  and
effective from the date the revised scheme comes into force.","Assuming the
government had not prescribed the specified date and thereby
provided that  those retiring,  pre and  past the  specified
date, would  all be  governed  by  the  liberalised  pension
scheme it  would be  both prospective  and retroactive.","A statute  is not properly called retroactive because a part
of the  requisites for  its action  is  drawn  from  a  time
antecedent to its passing."
"(viii) There  is no question of pensioners dividing the
pension fund  which, if  more persons  are admitted  to  the
scheme, would pro rata affect the share.","[195 H, 196 H, 196 G, 196 D, 196 B-D]
     Craies on  Statute Law,  Sixth Edition, p. 387 referred
to.","The pension scheme,
including the  liberalised scheme,  is  non-contributory  in
character."
"The pension scheme,
including the  liberalised scheme,  is  non-contributory  in
character.","(viii) There  is no question of pensioners dividing the
pension fund  which, if  more persons  are admitted  to  the
scheme, would pro rata affect the share.","The  payment of  pension is a statutory liability
undertaken by  the  Government."
"The  payment of  pension is a statutory liability
undertaken by  the  Government.","The pension scheme,
including the  liberalised scheme,  is  non-contributory  in
character.","Whatever  becomes  due  and
payable on  account of  pension is  recognised as an item of
expenditure and  is budgeted  for every  year."
"Whatever  becomes  due  and
payable on  account of  pension is  recognised as an item of
expenditure and  is budgeted  for every  year.","The  payment of  pension is a statutory liability
undertaken by  the  Government.","At  any given
point of  time there  is no  fixed or pre-determined pension
fund which is divided amongst eligible pensioners."
"At  any given
point of  time there  is no  fixed or pre-determined pension
fund which is divided amongst eligible pensioners.","Whatever  becomes  due  and
payable on  account of  pension is  recognised as an item of
expenditure and  is budgeted  for every  year.","[195 C-G]
     (ix) The  date of retirement of each employee remaining
as it  is, there  is no  question of  fresh  commutation  of
pension of  the pensioners  who retired  prior to 31st March
1979 and have already availed of the benefit of commutation."
"[195 C-G]
     (ix) The  date of retirement of each employee remaining
as it  is, there  is no  question of  fresh  commutation  of
pension of  the pensioners  who retired  prior to 31st March
1979 and have already availed of the benefit of commutation.","At  any given
point of  time there  is no  fixed or pre-determined pension
fund which is divided amongst eligible pensioners.","It is not open to them to get that benefit at this late date
because  commutation   has  to  be  availed  of  within  the
specified time  limit from  the date  of actual  retirement."
"The  discernible  purpose  underlying  the  pension
scheme must  inform the interpretative process and it should
receive a liberal construction.","[206 C-D]
     3.","[185 G-H]
     (i) Pension  is a  right; not  a bounty  or  gratuitous
payment."
"The  payment of  pension does  not depend  upon the
discretion of  the Government  but is  governed by the rules
and a  government  servant  coming  within  those  rules  is
entitled to claim pension.","[185 G-H]
     (i) Pension  is a  right; not  a bounty  or  gratuitous
payment.","[186 A-B]
     Deoki Nandan  Prasad v.State  of  Bihar  &  Ors.,[1971]
Supp."
"(ii) The  pension payable  to a  government employee is
earned by rendering long and efficient service and therefore
can be said to be a deferred portion of the compensation for
service rendered.","360, referred to.","[185 F]
     (iii) Pension  also has  a broader significance in thatD.S."
"The goals for which pension is
171
paid themselves  give a  fillip and  push to  the policy  of
setting up a welfare state.","[185 D-
E, 186 B-C]
     (iv) Pension  as a  retirement benefit is in consonance
with and  in furtherance  of the  goals of the Constitution.","The preamble to the Constitution
envisages the  establishment of  a socialist  republic."
"Old age, ebbing mental and physical prowess, atrophy of both muscle
and brain powers permeating these petitions, the petitioners in the fall of life yearn for equality of
treatment which is being meted out to those who are soon going to join and swell their own ranks,
Do pensioners entitled to receive superannuation or retiring pension under Central Civil Services
(Pension) Rules, 1972 ('1972 Rules' for short) form a class as a whole ?","The Judgment of the Court was delivered by DESAI,J.With a slight variation to suit the context
Woolesey's prayer : ""had I served my God as reverently as I did my king, I would not have fallen on
these days of penury"" is chanted by petitioners in this group of petitions in the Shellian tune : 'I fall
on the thorns of life I bleed.'","Is the date of retirement a
relevant consideration for eligibility when a revised formula for computation of pension is ushered
in and made effective from a specified date ?"
"Is the date of retirement a
relevant consideration for eligibility when a revised formula for computation of pension is ushered
in and made effective from a specified date ?","Old age, ebbing mental and physical prowess, atrophy of both muscle
and brain powers permeating these petitions, the petitioners in the fall of life yearn for equality of
treatment which is being meted out to those who are soon going to join and swell their own ranks,
Do pensioners entitled to receive superannuation or retiring pension under Central Civil Services
(Pension) Rules, 1972 ('1972 Rules' for short) form a class as a whole ?","Would differential treatment to pensioners related to
the date of retirement qua the revised formula for computation of pension attract Article 14 of the
Constitution and the element of discrimination liable to be declared unconstitutional as being
violative of Art."
"Would differential treatment to pensioners related to
the date of retirement qua the revised formula for computation of pension attract Article 14 of the
Constitution and the element of discrimination liable to be declared unconstitutional as being
violative of Art.","Is the date of retirement a
relevant consideration for eligibility when a revised formula for computation of pension is ushered
in and made effective from a specified date ?",14 ?
"These and the related questions debated in this group of petitions call for an
answer in the backdrop of a welfare State and bearing in mind that pension is a socio-economic
justice measure providing relief when advancing age gradually but irrevocably impairs capacity to
stand on one's own feet.",14 ?,Factual matrix has little relevance to the issues raised and canvassed at the hearing.
"Petitioners 1
and 2 are retired pensioners of the Central Government, the first being a civil servant and the
second being a member of the service personnel of the Armed Forces.",Factual matrix has little relevance to the issues raised and canvassed at the hearing.,"The third petitioner is a
society registered under the Societies Registration Act, 1860, formed to ventilate the legitimate
public problems and consistent with its objective it is espousing the cause of the pensioners all over
the country."
"The third petitioner is a
society registered under the Societies Registration Act, 1860, formed to ventilate the legitimate
public problems and consistent with its objective it is espousing the cause of the pensioners all over
the country.","Petitioners 1
and 2 are retired pensioners of the Central Government, the first being a civil servant and the
second being a member of the service personnel of the Armed Forces.",Its locus standi is in question but that is a different matter.
"The first petitioner retired
in 1972 and on computation, his pension worked out at Rs.",Its locus standi is in question but that is a different matter.,"675/- p.m. and along with the dearness
relief granted from time to time, at the relevant time he was in receipt of monthly pension of Rs."
"675/- p.m. and along with the dearness
relief granted from time to time, at the relevant time he was in receipt of monthly pension of Rs.","The first petitioner retired
in 1972 and on computation, his pension worked out at Rs.",935/-.
"The second petitioner retired at or about that time and at the relevant time was in receipt of a
pension plus dearness relief of Rs.",935/-.,"981/- p.m. Union of India has been revising and liberalising the
pension rules from time to time."
"981/- p.m. Union of India has been revising and liberalising the
pension rules from time to time.","The second petitioner retired at or about that time and at the relevant time was in receipt of a
pension plus dearness relief of Rs.",Some landmark changes may be noticed.
"The First Central Pay Commission (1946-47) recommended that the age of retirement in future
should be uniformly 58 years for all services and the scale of pension should be 1/80 of the
emoluments for each year of service, subject to a limit of 35/80 with a ceiling of Rs.",Some landmark changes may be noticed.,"8,000 per year
for 35 years of service, which the Government of India while accepting the recommendation raised
to Rs."
"8,100 per year which would earn a monthly pension of Rs.","8,000 per year
for 35 years of service, which the Government of India while accepting the recommendation raised
to Rs.",675 at the maximum.
"The
Administrative Reforms Commission ('ARC' for short) set up by the Government of India in 1956
took note of the fact that the cost of living has shot up and correspondingly the possibility of savings
has gone down and consequently the drop in wages on retirement is in reality much steeper than
what the quantum of pension would indicate, and accordingly the ARC recommended that theD.S.","The Second
Central Pay Commission (1957-58) re-affirmed that the age of superannuation should be 58 years
for all classes of public servants but did not recommend any increase in the non- contributory
retirement benefits and recommended that if in future any improvement is to be made, it was the
considered view of the Commission that these benefits should be on a contributory basis.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 10quantum of pension admissible may be raised to 3/6 of the emoluments of the last three years of
service as against the existing 3/8 and the ceiling should be raised from Rs."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 10quantum of pension admissible may be raised to 3/6 of the emoluments of the last three years of
service as against the existing 3/8 and the ceiling should be raised from Rs.","The
Administrative Reforms Commission ('ARC' for short) set up by the Government of India in 1956
took note of the fact that the cost of living has shot up and correspondingly the possibility of savings
has gone down and consequently the drop in wages on retirement is in reality much steeper than
what the quantum of pension would indicate, and accordingly the ARC recommended that theD.S.",675 p.m. to Rs.
"The Third Pay Commission did
not examine the question of relief to pensioners because in its view unless the terms of reference
were suitably amended it would not be within their jurisdiction to examine this question and on a
reference by them, the Government of India decided not to amend the terms of reference.","One of the terms of reference of the Third Pay Commission was
'death-cum- retirement benefits of Central Government employees'.","With
regard to the future pensioners the Third Pay Commission while reiterating that the age of
superannuation should continue to be 58 years further recommended that no change in the existing
formula for computing pension is considered necessary."
"With
regard to the future pensioners the Third Pay Commission while reiterating that the age of
superannuation should continue to be 58 years further recommended that no change in the existing
formula for computing pension is considered necessary.","The Third Pay Commission did
not examine the question of relief to pensioners because in its view unless the terms of reference
were suitably amended it would not be within their jurisdiction to examine this question and on a
reference by them, the Government of India decided not to amend the terms of reference.","The only important recommendation worth
noticing is that the Commission recommended that the existing ceiling of maximum pension should
be raised from Rs."
"The only important recommendation worth
noticing is that the Commission recommended that the existing ceiling of maximum pension should
be raised from Rs.","With
regard to the future pensioners the Third Pay Commission while reiterating that the age of
superannuation should continue to be 58 years further recommended that no change in the existing
formula for computing pension is considered necessary.",675 to Rs.
"F-19(3)-EV-79 whereby the formula for computation of pension was liberalised but made it
applicable to Government servants who were in service on March 31, 1979 and retire from service on
or after that date (specified date for short).","On May 25, 1979, Government of India, Ministry of Finance, issued Office Memorandum No.","The formula introduced a slab system for computation of
pension."
"The formula introduced a slab system for computation of
pension.","F-19(3)-EV-79 whereby the formula for computation of pension was liberalised but made it
applicable to Government servants who were in service on March 31, 1979 and retire from service on
or after that date (specified date for short).","This liberalised pension formula was applicable to employees governed by the 1972 Rules
retiring on or after the specified date."
"This liberalised pension formula was applicable to employees governed by the 1972 Rules
retiring on or after the specified date.","The formula introduced a slab system for computation of
pension.","The pension for the service personnel which will include
Army, Navy and Air Force staff is governed by the relevant regulations."
"The pension for the service personnel which will include
Army, Navy and Air Force staff is governed by the relevant regulations.","This liberalised pension formula was applicable to employees governed by the 1972 Rules
retiring on or after the specified date.","By the Memorandum of the
Ministry of Defence bearing No."
"B/40725/AG/PS4-C/1816/AD (Pension)/Services dated September
28, 1979, the liberalised pension formula introduced for the government servants governed by the
1972 rules was extended to the Armed Forces personnel subject to limitations set out in the
memorandum with a condition that the new rules of pension would be effective from April 1, 1979,
and may be applicable to all service officers who become/became non-effective on or after that date.","By the Memorandum of the
Ministry of Defence bearing No.",(for short specified date).
"The liberalised pension formula shall be applicable prospectively to those who retired on
or after March 31, 1979 in case of government servants covered by 1972 Rules and in respect of
defence personnel those who became/become non-effective on or after April 1, 1979.","The chronology of events herein narrated would bring to surface the contentions raised in these
petitions.","Consequently
those who retired prior to the specified date would not be entitled to the benefits of the liberalised
pension formula."
"Consequently
those who retired prior to the specified date would not be entitled to the benefits of the liberalised
pension formula.","The liberalised pension formula shall be applicable prospectively to those who retired on
or after March 31, 1979 in case of government servants covered by 1972 Rules and in respect of
defence personnel those who became/become non-effective on or after April 1, 1979.","Petitioners accordingly contend that this Court may consider the raison d'etre for payment of
pension."
"Petitioners accordingly contend that this Court may consider the raison d'etre for payment of
pension.","Consequently
those who retired prior to the specified date would not be entitled to the benefits of the liberalised
pension formula.","If the Pension is paid for past satisfactory service rendered, and to avoid destitution in old
age as well as a social welfare or socio-economic justice measure, the differential treatment for those
retiring prior to a certain date and those retiring subsequently, the choice of the date being wholly
arbitrary, would be according differential treatment to pensioners who form a class irrespective of
the date of retirement and, therefore, would be violative of Art."
"If the Pension is paid for past satisfactory service rendered, and to avoid destitution in old
age as well as a social welfare or socio-economic justice measure, the differential treatment for those
retiring prior to a certain date and those retiring subsequently, the choice of the date being wholly
arbitrary, would be according differential treatment to pensioners who form a class irrespective of
the date of retirement and, therefore, would be violative of Art.","Petitioners accordingly contend that this Court may consider the raison d'etre for payment of
pension.",14.
