Sentence,Previous,Next
"On the 
issue in hand, it has the following legislation in pl ace: 
(a) Law of Marriage 1974 
Law 1 of 1974 
“Article 38.",Muslims of the Sunni sect constitute its m ajority.,"A divorce shall be effected only in the  court and the court 
shall not permit a divorce before attempting reconcili ation between the 
parties."
"On 
the issue in hand, it has the following legislation in  place: 
Islamic Family Law Act 1984 
Act 304 of 1984 
“Article 47.",Muslims of the Sunni sect constit ute its majority.,"(1) A husband or a wife who desires a d ivorce shall present 
an application for divorce to the court in the prescrib ed form 
accompanied by a statutory declaration containing  (a) particulars of the 
marriage and the name, ages and sex of the children, if any, of the 
marriage; (b) particulars of the facts giving the court jurisdiction under 
Section 45; (c) particulars of any previous matrimonia l proceedings 
between the parties, including the place of the proceed ings; (d) a 
statement as to the reasons for desiring divorce ; (e) a statement as to 
whether any, and if so, what steps have been taken to e ffect 
reconciliation ; (f) the terms of any agreement regarding maintenanc e and 
habitation of the wife and the children of the marriage , if any, and the 
division of any assets acquired through the joint effo rt of the parties, if 
any, or where no such agreement has been reached, the  applicant’s 
proposals regarding those matters; and (g) particular s of the order 
sought."
"On 
the issue in hand, it has the following legislation in  place: 
Code of Muslim Personal Law 1977 
Decree No.1083 of 1977 
“Article 46.",Christians constitute its major ity.,"(1) A divorce by Talaq may be effected by the husband in a 
single repudiation of his wife during her Tuhr [non- menstrual period] 
within which he has totally abstained from carnal rela tions with her."
"A person who fails to comply with the req uirements of Article 
85, 161 and 162 of this Code shall be penalized by i mprisonment or a 
fine of two hundred to two thousand Pesos, or both .” 
 
C.  Laws of Sub-continental States  
 
(i) Pakistan & Bangladesh : Are both theocratic States, wherein Islam is the 
official religion.",xxx  xxx  xxx 45 Article 183.,"In both countries Muslims of the Sunni sect constitute the 
majority."
"On the issue in hand, it has the following legislation in place: 
Muslim Family Laws Ordinance 1961 
Ordinance VIII of 1961 amended in Bangladesh by Ord inance 114 of 
1985 
(Bangladesh changes noted below relevant provisions) 
“Section 7.","In both countries Muslims of the Sunni sect constitute the 
majority.","(1)  Any man who wishes to divorce his wi fe shall, as soon as 
may be after the pronouncement of Talaq in any form w hatsoever, give 
the Chairman a notice in writing of his having done s o, and shall supply 
a copy thereof to the wife ."
"A talak a ctually pronounced 
under compulsion or in jest is valid and effective : Baillie’s Digest, 2nd 
edn., p. 208; Ameer Ali's Mohammedan Law, 3rd edn.,  vol.","Their Lordships are of opinion that the pronoun cement of the triple 
talak by Ghiyas-ud-din constituted an immediately eff ective divorce , and, 
while they are satisfied that the High Court were not justi fied in such a 
conclusion on the evidence in the present case, they a re of opinion that 
the validity and effectiveness of the divorce would no t be affected by 
Ghiyas-ud-din’s mental intention that it should not be a genuine divorce, 
as such a view is contrary to all authority.","ii, p. 518; 
Hamilton's Hedaya, vol."
"Mere registration of divorce (or marriage ) even if proved, will 
not render valid divorce which is otherwise invalid under Muslim Law.” 
 
A perusal of the conclusion recorded by the High Co urt, through the 
above observations, leaves no room for any doubt, t hat the ‘talaq-e-biddat’ 
pronounced by the husband without reasonable cause,  and without being 
preceded by attempts of reconciliation, and without  the involvement of 
arbitrators with due representation on behalf of th e husband and wife, 54 would not lead to a valid divorce.","Registration of marriage and divorce unde r the Assam 
Muslim Marriages and Divorces Registration Act, 1935 i s voluntary, and 
unilateral.","The High Court also concluded, that the 
petitioner – Jiauddin Ahmed, had mainly alleged tha t he had pronounced 
talaq, but had not established the factum of divorc e by adducing any 
cogent evidence."
"The equivalent of the word 'div orce' is 'talaq' in 
Muslim Law.","The first point to be decided, therefore, is whether  the opposite party 
divorced the Petitioner.","What is valid 'talaq' in Muslim law was c onsidered by one of 
us (Baharul Islam, J. as he then was) sitting singly i n Criminal Revision 
No."
"I regret that I have to come to the conclusion tha t at the law 
stands at present, any Mohamedan may divorce his wife at his mere 
whim and caprice.” 56 Following Macnaghten, J. who held: ""there is no occasi on for any 
particular cause for divorce, and mere whim is suffi cient,'' and Batchelor, 
J, in case of Sarabai v. Babiabai (ILR 30 Bombay 53 7) Costello, J. held:— 
“It is good in law, though bad in theology.” 
Ameer Ali, in his Treatise on Mahomedan Law has obse rved: 
“The Prophet pronounced talaq to be a most destable thing  before the 
Almighty God of all permitted things.","In the case of Ahmed Kasim Molla v. Khatun Bibi repor ted in ILR Cal 
833, which has so long been regarded as a leading c ase on the law of 
divorce, Justice Costello held: 
“Upon that point (divorce), there are a number of author ities and I have 
carefully considered this point as dealt with in the very early authorities 
to see whether I am in agreement with the mere recent dec isions of the 
Courts.","If 'talaq' is given without any reason it is stupidity  and ingratitude to 
God.” 
The learned Author in the same book has also observed  
“The author of the Multeka (Ibrohim Halebi) is more c oncise."
"The emphasis 
was that a talaq would be valid only if it is effecte d in accordance with 
the Muslim Law.","in ILR 30 Madras 22  precisely held 
was that impropriety of the husband's conduct would in no way affect 
the legal validity of a divorce duly effected by the h usband.","In ILR 5, Rangoon 18, their Lordships of the Privy Co uncil observed: 
“According to that law (the Muslim Law), a husband ca n effect a divorce 
whenever he desires.” 
But the Privy Council has not said that the divorce need  not be duly 
effected or that procedure enjoined by the Quran need  not be followed."
"In ILR 5, Rangoon 18, their Lordships of the Privy Co uncil observed: 
“According to that law (the Muslim Law), a husband ca n effect a divorce 
whenever he desires.” 
But the Privy Council has not said that the divorce need  not be duly 
effected or that procedure enjoined by the Quran need  not be followed.","The emphasis 
was that a talaq would be valid only if it is effecte d in accordance with 
the Muslim Law.",8.
"It is needless to say that Holy Quran is the primary  source and is the 
weightiest authority on any subject under the Muslim Law .",8.,"The Single 
Judge in Criminal Revision No."
"It seems that modern Indian Hanafi scholars have ta ken this opinion as well: the Compendium of Islamic  
Laws, 2001, Part II, Section 24, states the followi ng: “If a person pronouncing talaq says that he int ended 
only a single talaq and repeated the words of talaq  only to put emphasis and these words were not mean t 
to pronounce more than one talaq, his statement on oath will be accepted” .",p. 32.,Translated by Mahmood.
"(Also see: The Muslim Law of India, 3rd ed., Tahir Mahmood, Lexis Nexis Butterworths: New Delhi 
(2002),p.107, where the learned author noted: “In I ndia there has been no legislation in this regard, but 
the muftis of the time now agree that if a man pron ounces the so-called 'triple talaq' but later swear s that 
he did not mean it, his declaration may be given th e effect of a single talaq revocable during iddat a nd, if 
not so revoked, leaving room for a fresh nikah ther eafter with the wife's consent ”).",Translated by Mahmood.,"Such a view is, 
perhaps, based upon an application of the following  legal maxim of Islamic law - Al-umuru bi-
maqasidiha: Acts are judged by the intention behind  them."
"Personal Law in Islamic Countries, Tah ir 
Mahmood, Academy of Law and Religion: New Delhi (19 87).","Finally, many Muslim countries, 
including Algeria, Egypt, Jordan, Morocco, Sudan, S yria, and Yemen, have implemented laws that 
uphold the notion that a triple talak counts as onl y one talak.","3  4  
5  
6 See supra, fn 25 & 26, for the opinion of the Hanaf i madhab that triple talaq is sinful."
"(iii) The consideration :  The High Court took into consideration texts by 
renowned scholars, as for instance, from “Sharia” by  Wael B. Hallaq, 
“Sharia Law, An Introduction” by Mohammad Hashim Kama li, “Qur’an: The 
Living Truth” by Basheer Ahmad Mohyidin, “Muslim Law  in India And 
Abroad” by Dr. Tahir Mahmood, “The Lawful and the P rohibited in Islam” by 
Sheikh Yusuf al-Qaradawi, from the Urdu book “Hikma tul Islam” by 
Moulana Wahidul Khan.","The High Co urt therefore, embarked 
on the exercise of examining the validity of ‘talaq-e -biddat’.","The High Court also took into consideration 
Quranic verses (all of which have been, extracted ab ove)."
"Therefore, settlement of law relating to talaq is necessa ry and further 
discussion is to be treated as an allude for the State to consider for 
possible reforms of divorce Law of Muslim in this C ountry .","But rather it require a State 
intervention by way of legislation to regulate triple ta laq in India.","The empirical 
research placed herein justifies such course of acti on to remind the State 
for action."
Law required to be aligned with justice.,"Justice has become elusive 
for Muslim women in India not because of the religion  they profess, but 
on account of lack of legal formalism resulting in im munity from law .","The search f or solution to this 
predicament lies in the hands of the law makers."
"""Thus we display the revelations for people who have sense "" (Chapter 
30:28) 
The Registry shall forward the copy of this judgment to Union Law 
Ministry and Law Commission of India.” 67 A perusal of the conclusions drawn by the High Court r eveals, that the 
practice of ‘talaq-e-biddat’, was deprecated by the Cou rt.","(Chapter 47:2) 
""And those who believe and do good works and believe in that which is 
revealed unto Muhammad - and it is the truth from their Lord-He riddeth 
them of their ill deeds and improveth their state .""","The Court 
however called upon the legislature, to codify the law  on the issue, as would 
result in the advancement of justice, as a matter of in stitutional form."
"Learned cou nsel concluded his 
submissions by quoting from the Constitutional Law of India, by H.M. 
Seervai (fourth edition, Volume 2, published by N.M. Tripathi Private Ltd., 
Bombay), wherein in clause 12.60, at page 1281, the author has expressed 
the following view: 
“12.60 I am aware that the enforcement of laws which a re violated is the 
duty of Govt., and in a number of recent cases that dut y has not been 72 discharged.","I t was commended, 
that the instant practice of ‘talaq-e-biddat’ should be d one away with, in the 
same manner as the practice of ‘Sati’, ‘Devadasi’ and  ‘Polygamy’, which were 
components of Hindu religion, and faith.","Again, in the last instance, blatant violati on of religious 
freedom by the arbitrary action of religious heads ha s to be dealt with 
firmly by our highest Court."
"It was pointed out, that it was by now well s ettled, that there 
were various degrees of reliability and/or authentic ity of different ‘hadiths’ 
(reference in this behalf was made to – Principles of  Mohomedan Law by Sir 
Dinshaw Fardunji Mulla, LexisNexis, Butterworths Wadhw a, Nagpur, 20 th  
edition).","In the present determination, learned senior counsel s ubmitted, 
that it would be essential to recognize the existence of distortions in the 
‘hadiths’.","It was the contention of learned senior coun sel, that the All India 
Muslim Personal Law Board (hereinafter referred to a s, the AIMPLB), had 
relied on ‘hadiths’, that were far removed from the tim e of the Prophet."
"It was the contention of learned senior coun sel, that the All India 
Muslim Personal Law Board (hereinafter referred to a s, the AIMPLB), had 
relied on ‘hadiths’, that were far removed from the tim e of the Prophet.","It was pointed out, that it was by now well s ettled, that there 
were various degrees of reliability and/or authentic ity of different ‘hadiths’ 
(reference in this behalf was made to – Principles of  Mohomedan Law by Sir 
Dinshaw Fardunji Mulla, LexisNexis, Butterworths Wadhw a, Nagpur, 20 th  
edition).","It 
was submitted, that they were therefore far less credib le and authentic, and 
also distorted and unreliable, as against the ‘hadiths ’ taken into 
consideration in the judgments rendered by the High Co urts (-for details, 
                                                 
14  (2014) 4 SCC 1 77 refer to Part-6 – Judicial pronouncements, on the sub ject of ‘talaq-e-
biddat’)."
"It was contended, that even before, the commencement of the 
Constitution, the Muslim Personal Law (Shariat) Appl ication Act, 1937 
enforced Muslim ‘personal law’, and as such, the Mus lim ‘personal law’ 
should be considered as a “law in force”, within the meaning of Article 
13(3)(b).","It was submitted, 
that on personal issues, Muslims were governed by the Muslim ‘personal 
law’ – Shariat.","It was pointed out, that the instant position made the legal 
position separate and distinct from what ordinarily fa lls in the realm of 
‘personal law’."
"Khan, Advo cates, appeared 
on behalf of the Muslim Women Personal Law Board.",Dr. Rajan Chandra and Mr. Arif Mohd.,"I t was their 96 contention, that it has been acknowledged by all concer ned, including the 
AIMPLB, that ‘talaq-e-biddat’ was derogatory to the dig nity of women, and 
that, it breaches the concept of gender equality."
"Law should be c apable to expand 
freedom of the people and the legal order can weigh w ith utmost equal 
care to provide the underpinning of the highly inequita ble social order.","To construe law one must enter 
into its spirit, its setting and history.","Judicial review must be exercised with insight into social values to 
supplement the changing social needs."
"Laws inconsistent with or in derogation of the fu ndamental rights.- 
(1) All laws in force in the territory of India imme diately before the 
commencement of this Constitution, in so far as they ar e inconsistent 
with the provisions of this Part, shall, to the extent of  such 
inconsistency, be void.","Article 13 reads as 
under:  
“13.","(2) The State shall not make any law which takes away or abridges the 
rights conferred by this Part and any law made in con travention of this 
clause shall, to the extent of the contravention, be void ."
"It was pointed out, that in the counter-affidavit dated August 2016, 
filed on behalf of the Muslim Personal Law Board, i. e., respondent no.3 to 
this petition, the practices of triple talaq (as well as, ‘nikah halala’ and 
polygamy) have been referred to as “undesirable”.","(2) If the 
phrase just quoted was intended to have such a wide op eration as 
cutting at even the essentials guaranteed by Article 25(1 ), there would 
have been no need for the special provision as to “t hrowing open of 
Hindu religious institutions” to all classes and secti ons of Hindus since 
the legislation contemplated by this provision would be par excellence 
one of social reform.” 
 
73.","I t was accordingly 
                                                 
28  AIR 1962 SC 853 120 submitted, that no “undesirable” practice can be conferr ed the status of an 
“essential practice”, much less one that forms the subs tratum of the 
concerned religion."
"In Indonesia , divorce is a judicial 
process, where those marrying under Islamic Law, ca n approach the 
Religious Court for a divorce, while others can appro ach District Courts for 
the same.","In Morocco and Indonesia, 
divorce proceedings take place in a secular court, pr ocedures of mediation 
and reconciliation are encouraged, and men and women  are considered 
equal in matters of family and divorce.","In Iran and Sri Lanka, divorce can be gra nted by a Qazi and/or a 
court, only after reconciliation efforts have failed."
"This assertion, was 
sought to be demonstrated, by placing reliance on the d efinition of the term 
‘personal law’ in Blacks Law Dictionary (10th  edition, 2014), as follows: 
“The law that governs a person’s family matters, regard less of where the 
person goes .","It was pointed out, that the personal affairs referre d to in the 
foregoing paragraph, fall in the realm of ‘personal law’.","In common law systems, personal law refers to the l aw of 
the person’s domicile."
"In civil-law systems, it refer s to the law of the 
individual’s nationality (and so is sometimes called  lex patriae).” 
Reference was also made to the definition of the term ‘personal law’ in 
‘Conflict of Laws 188’ (7 th  edition, 1974) by R.H. Graveson, who defined the 
term as under: 
“The idea of the personal law is based on the concept ion of man as a 
social being, so that those transactions of his daily l ife which affect him 
most closely in a personal sense, such as marriage, divorce, legitimacy, 
many kinds of capacity, and succession, may be gove rned universally by 
that system of law deemed most suitable and adequate fo r the purpose  
…” 
Based on the cumulative definition of the term ‘persona l law’, it was 
submitted, that the evolution of the matters of faith relati ng to religious 
practices, must necessarily be judged in the context of practices adopted by 
the concerned community, with reference to each indiv idual aspect of 
‘personal law’.","In common law systems, personal law refers to the l aw of 
the person’s domicile.","It was conceded, on behalf of the A IMPLB, that ‘personal 
laws’ were per se  subservient to legislation, and as such, ‘personal la ws’ 
were liable to be considered as mandatory, with refer ence to numerous 
aspects of an individual’s life, only in the absence  of legislation."
Law to be administered in cases of inheritance a nd succession.,"Section 112, 
aforementioned is extracted hereunder: 
“112.","– 
The high courts at Calcutta, Madras and Bombay, in the  exercise of their 
original jurisdiction in suits against inhabitants of Calcutta, Madras or 
Bombay, as the case may be, shall, in maters of inher itance and 
succession to lands, rents and goods, and in matters o f contract and 
dealing between party and party, when both parties ar e subject to the 
same personal law or custom having the force of law,  decide according to 
that personal law or custom, and when the parties are su bject to 
different personal laws or customs having  the force  of law, decide 
according to the law or custom to which the defendant is  subject .” 
It was pointed out, that in framing Article 13, the choice  of the words 
“custom and usage” and the exclusion of the expressio n “personal law” 
needed to be taken due note of."
"Take for instance the Hindu Law Draft which 
is before the Legislative Assembly.","What have these things got to  do with religion 
I really fail to understand.","If one looks at Ma nu and 
Yagnyavalkya and all the rest of them, I think most of the provisions of 
the new Bill will run counter to their injunctions."
"Look at 
Hindu Law; you get any amount of discrimination agains t women; and if 
that is part of Hindu religion or Hindu religious prac tice, you cannot 
pass a single law which would elevate the position o f Hindu women to  
that of men.","But you  have already passed 
a Fundamental Right to that effect and you have an artic le here which 
lays down that there should be no discrimination aga inst sex.","Therefore, there is no reason why there s hould not be a civil 
code throughout the territory of India ."
"They are willing to take lessons from the min ority and adapt 
their Hindu Laws and take a leaf from the Muslims for the purpose of 
reforming even the Hindu Law.","After all the only community that is willing to adapt  
itself to changing times seems to be the majority commun ity in the 
country.","Therefore, there is no force to the 
objection that is put forward to article 35 ."
"The unifo rm Civil Code 
will run into every aspect of Civil Law.","The future Legislatures may 
attempt a uniform Civil Code or they may not.","In regard to  contracts, procedure 
and property uniformity is sought to be secured by th eir finding a place 
in the Concurrent List."
"We have the Law of Transfer of 
Property, which deals with property relations and wh ich is operative 
throughout the country.","We have a uniform and complete C riminal Code 
operating throughout the country, which is contained in th e Penal Code 
and the Criminal Procedure Code.","Then there are the Negotiable Ins truments Acts: 
and I can cite innumerable enactments which would prov e that this  
country has practically a Civil Code, uniform in its c ontent and 
applicable to the whole of the country."
"The only provi nce the Civil Law 
has not been able to invade so far is Marriage and Su ccession.","Then there are the Negotiable Ins truments Acts: 
and I can cite innumerable enactments which would prov e that this  
country has practically a Civil Code, uniform in its c ontent and 
applicable to the whole of the country.","It is this 150 little corner which we have not been able to invade so  far and it is the 
intention of those who desire to have article 35 as part of the 
Constitution to bring about that change."
"Now I wish to challenge that statemen t. I think most 
of my friends who have spoken on this amendment have quite forgotten 
that up to 1935 the North-West Frontier Province was not subject to the 
Shariat Law.","My first observation would be to sta te that members 
who put forth these amendments say that the Muslim persona l law, so 
far as this country was concerned, was immutable and u niform through 
the whole of India.","It followed the Hindu Law in the matter of  succession and 
in other matters, so much so that it was in 1939 that the Central 
Legislature had to come into the field and to abrogate t he application of 
the Hindu Law to the Muslims of the North-West Frontier P rovince and 
to apply the Shariat Law to them."
